舂簸	chongbo,cb
舂常	chongchang,cc
舂舂井井	chongjing,cj
舂杵	chongchu,cc
舂淙	chongcong,cc
舂爨	chongcuan,cc
舂碓	chongdui,cd
舂槀	chonggao,cg
舂槁	chonggao,cg
舂谷	chonggu,cg
舂击	chongji,cj
舂汲	chongji,cj
舂粮	chongliang,cl
舂米	chongmi,cm
舂酋	chongqiu,cq
舂人	chongren,cr
舂容	chongrong,cr
舂容大雅	chongrongdaya,crdy
舂融	chongrong,cr
舂市	chongshi,cs
舂税	chongshui,cs
舂堂	chongtang,ct
舂塘	chongtang,ct
舂相	chongxiang,cx
舂抭	chongyao,cy
舂揄	chongyu,cy
舂筑	chongzhu,cz
舂撞	chongzhuang,cz
