刘阿斗	liuadou,lad
刘安	liuan,la
刘白	liubai,lb
刘白堕	liubaiduo,lbd
刘白羽	liubaiyu,lby
刘邦	liubang,lb
刘宝全	liubaoquan,lbq
刘备	liubei,lb
刘表	liubiao,lb
刘表牛	liubiaoniu,lbn
刘宾雁	liubinyan,lby
刘伯温	liubowen,lbw
刘参军	liucanjun,lcj
刘禅	liushan,ls
刘宠一钱	liuchongyiqian,lcyq
刘慈欣	liucixin,lcx
刘村	liucun,lc
刘德华	liudehua,ldh
刘杜	liudu,ld
刘鹗	liue,le
刘纲	liugang,lg
刘根	liugen,lg
刘公岛	liugongdao,lgd
刘公嘉话	liugongjiahua,lgjh
刘公勇	liugongyong,lgy
刘光第	liuguangdi,lgd
刘贵今	liuguijin,lgj
刘海	liuhai,lh
刘海蟾	liuhaichan,lhc
刘海儿	liuhaier,lhe
刘海仙	liuhaixian,lhx
刘恒	liuheng,lh
刘厚总	liuhouzong,lhz
刘基	liuji,lj
刘寄奴	liujinu,ljn
刘家村	liujiacun,ljc
刘家辉	liujiahui,ljh
刘家夼	liujiakuang,ljk
刘家夼镇	liujiakuangzhen,ljkz
刘贾	liujia,lj
刘剑峰	liujianfeng,ljf
刘金宝	liujinbao,ljb
刘涓子	liujuanzi,ljz
刘涓子鬼遗方	liujuanziguiyifang,ljzgyf
刘窟头	liukutou,lkt
刘琨	liukun,lk
刘琨舞	liukunwu,lkw
刘览	liulan,ll
刘郎	liulang,ll
刘郎前度	liulangqiandu,llqd
刘姥姥进大观园	liulaojindaguanyuan,lljdgy
刘累	liulei,ll
刘伶锸	liulingcha,llc
刘伶酒	liulingjiu,llj
刘灵	liuling,ll
刘柳	liu,l
刘卢	liulu,ll
刘陆	liulu,ll
刘猛将军	liumengjiangjun,lmjj
刘棉花	liumianhua,lmh
刘青云	liuqingyun,lqy
刘阮	liuruan,lr
刘三姐	liusanjie,lsj
刘三妹	liusanmei,lsm
刘少奇	liushaoqi,lsq
刘生	liusheng,ls
刘师哥	liushige,lsg
刘师培	liushipei,lsp
刘石经	liushijing,lsj
刘氏冠	liushiguan,lsg
刘奭	liushi,ls
刘四骂人	liusimaren,lsmr
刘松龄	liusongling,lsl
刘宋	liusong,ls
刘宋时代	liusongshidai,lssd
刘随州	liusuizhou,lsz
刘天华	liutianhua,lth
刘熙	liuxi,lx
刘仙掌	liuxianzhang,lxz
刘翔	liuxiang,lx
刘向	liuxiang,lx
刘项	liuxiang,lx
刘晓波	liuxiaobo,lxb
刘勰	liuxie,lx
刘心武	liuxinwu,lxw
刘歆	liuxin,lx
刘昫	liuxu,lx
刘晏粟	liuyansu,lys
刘洋	liuyang,ly
刘义庆	liuyiqing,lyq
刘毅	liuyi,ly
刘毅答诏	liuyidazhao,lydz
刘永福	liuyongfu,lyf
刘禹锡	liuyuxi,lyx
刘裕	liuyu,ly
刘豫州	liuyuzhou,lyz
刘渊	liuyuan,ly
刘云山	liuyunshan,lys
