黼蔀黻纪	fubuji,fbj
黼宸	fuchen,fc
黼纯	fuchun,fc
黼黻	fu,f
黼黻皇猷	fuhuangyou,fhy
黼黻文章	fuwenzhang,fwz
黼构	fugou,fg
黼国黻家	fuguojia,fgj
黼函	fuhan,fh
黼画	fuhua,fh
黼荒	fuhuang,fh
黼幌	fuhuang,fh
黼绘	fuhui,fh
黼领	fuling,fl
黼冕	fumian,fm
黼命	fuming,fm
黼裘	fuqiu,fq
黼杀	fusha,fs
黼翣	fusha,fs
黼裳	fuchang,fc
黼珽	futing,ft
黼帏	fuwei,fw
黼帷	fuwei,fw
黼文	fuwen,fw
黼幄	fuwo,fw
黼绣	fuxiu,fx
黼冔	fuxu,fx
黼筵	fuyan,fy
黼衣	fuyi,fy
黼衣方领	fuyifangling,fyfl
黼依	fuyi,fy
黼扆	fuyi,fy
黼帟	fuyi,fy
黼藻	fuzao,fz
黼帐	fuzhang,fz
黼座	fuzuo,fz
