譬比	pibi,pb
譬称	picheng,pc
譬成	picheng,pc
譬大	pida,pd
譬方	pifang,pf
譬解	pijie,pj
譬况	pikuang,pk
譬类	pilei,pl
譬媲	pi,p
譬如	piru,pr
譬如说	pirushuo,prs
譬如闲	piruxian,prx
譬若	piruo,pr
譬使	pishi,ps
譬释	pishi,ps
譬说	pishuo,ps
譬似	pisi,ps
譬似闲	pisixian,psx
譬晓	pixiao,px
譬抑	piyi,py
譬由	piyou,py
譬犹	piyou,py
譬于	piyu,py
譬语	piyu,py
譬谕	piyu,py
譬喻	piyu,py
譬喻地	piyude,pyd
譬则	pize,pz
譬证	pizheng,pz
譬之	pizhi,pz
譬执	pizhi,pz
譬止	pizhi,pz
譬旨	pizhi,pz
譬诸	pizhu,pz
