擘坼	boche,bc
擘划	bohua,bh
擘画	bohua,bh
擘騞	bohuo,bh
擘肌分理	bojifenli,bjfl
擘笺	bojian,bj
擘茧	bojian,bj
擘开	bokai,bk
擘窠	boke,bk
擘窠大字	bokedazi,bkdz
擘窠书	bokeshu,bks
擘窠字	bokezi,bkz
擘絖	bokuang,bk
擘兰	bolan,bl
擘蓝	bolan,bl
擘李	boli,bl
擘两分星	boliangfenxing,blfx
擘纑	bolu,bl
擘面	bomian,bm
擘名	boming,bm
擘啮	bonie,bn
擘钱	boqian,bq
擘阮	boruan,br
擘析	boxi,bx
擘张	bozhang,bz
擘指	bozhi,bz
