卿霭	qingai,qa
卿惭长	qingcanchang,qcc
卿曹	qingcao,qc
卿大夫	qingdafu,qdf
卿贰	qinger,qe
卿辅	qingfu,qf
卿衮	qinggun,qg
卿家	qingjia,qj
卿老	qinglao,ql
卿僚	qingliao,ql
卿卿	qing,q
卿卿我我	qingwo,qw
卿士	qingshi,qs
卿士寮	qingshiliao,qsl
卿士月	qingshiyue,qsy
卿事寮	qingshiliao,qsl
卿署	qingshu,qs
卿寺	qingsi,qs
卿相	qingxiang,qx
卿尹	qingyin,qy
卿渊	qingyuan,qy
卿月	qingyue,qy
卿云	qingyun,qy
卿宰	qingzai,qz
卿皂	qingzao,qz
卿长	qingchang,qc
卿子	qingzi,qz
卿子冠军	qingziguanjun,qzgj
卿佐	qingzuo,qz
