三阿姨	sanayi,say
三霭	sanai,sa
三案	sanan,sa
三暗	sanan,sa
三闇	sanan,sa
三拗汤	sanaotang,sat
三八	sanba,sb
三八大盖	sanbadagai,sbdg
三八妇女节	sanbafunujie,sbfnj
三八节	sanbajie,sbj
三八枪	sanbaqiang,sbq
三八式	sanbashi,sbs
三八线	sanbaxian,sbx
三八制	sanbazhi,sbz
三八作风	sanbazuofeng,sbzf
三巴	sanba,sb
三把刀	sanbadao,sbd
三白	sanbai,sb
三白草	sanbaicao,sbc
三白脆	sanbaicui,sbc
三白法	sanbaifa,sbf
三白酒	sanbaijiu,sbj
三白鸟	sanbainiao,sbn
三白食	sanbaishi,sbs
三百	sanbai,sb
三百六十日	sanbailiushiri,sblsr
三百六十行	sanbailiushihang,sblsh
三百篇	sanbaipian,sbp
三百钱	sanbaiqian,sbq
三百青铜钱	sanbaiqingtongqian,sbqtq
三百瓮齑	sanbaiwengji,sbwj
三百瓮虀	sanbaiwengji,sbwj
三百五篇	sanbaiwupian,sbwp
三败之辱	sanbaizhiru,sbzr
三拜	sanbai,sb
三班	sanban,sb
三班倒	sanbandao,sbd
三班奉职	sanbanfengzhi,sbfz
三班借职	sanbanjiezhi,sbjz
三班六房	sanbanliufang,sblf
三班县丞	sanbanxiancheng,sbxc
三般儿	sanbaner,sbe
三般两样	sanbanliangyang,sbly
三板	sanban,sb
三邦	sanbang,sb
三梆	sanbang,sb
三榜定案	sanbangdingan,sbda
三棒	sanbang,sb
三棒鼓	sanbanggu,sbg
三包	sanbao,sb
三胞胎	sanbaotai,sbt
三宝	sanbao,sb
三宝殿	sanbaodian,sbd
三宝鸟	sanbaoniao,sbn
三宝太监	sanbaotaijian,sbtj
三保太监	sanbaotaijian,sbtj
三豹	sanbao,sb
三杯和万事	sanbeihewanshi,sbhws
三杯通大道	sanbeitongdadao,sbtdd
三北	sanbei,sb
三北防护林	sanbeifanghulin,sbfhl
三倍	sanbei,sb
三倍地	sanbeide,sbd
三辈	sanbei,sb
三本	sanben,sb
三笔六诗	sanbiliushi,sbls
三币	sanbi,sb
三避	sanbi,sb
三边	sanbian,sb
三边形	sanbianxing,sbx
三鞭酒	sanbianjiu,sbj
三变	sanbian,sb
三表	sanbiao,sb
三表五饵	sanbiaowuer,sbwe
三别	sanbie,sb
三兵	sanbing,sb
三病	sanbing,sb
三病四痛	sanbingsitong,sbst
三亳	sanbo,sb
三晡	sanbu,sb
三不	sanbu,sb
三不拗六	sanbuniuliu,sbnl
三不管	sanbuguan,sbg
三不归	sanbugui,sbg
三不惑	sanbuhuo,sbh
三不开	sanbukai,sbk
三不留	sanbuliu,sbl
三不欺	sanbuqi,sbq
三不去	sanbuqu,sbq
三不入	sanburu,sbr
三不时	sanbushi,sbs
三不食	sanbushi,sbs
三不五时	sanbuwushi,sbws
三不祥	sanbuxiang,sbx
三不孝	sanbuxiao,sbx
三不朽	sanbuxiu,sbx
三不宜	sanbuyi,sby
三不沾	sanbuzhan,sbz
三不知	sanbuzhi,sbz
三不主义	sanbuzhuyi,sbzy
三不足畏	sanbuzuwei,sbzw
三步见方	sanbujianfang,sbjf
三步两脚	sanbuliangjiao,sblj
三部曲	sanbuqu,sbq
三擦	sanca,sc
三才	sancai,sc
三才箭	sancaijian,scj
三材	sancai,sc
三采	sancai,sc
三蔡	sancai,sc
三餐	sancan,sc
三仓	sancang,sc
三苍	sancang,sc
三藏	sanzang,sz
三藏法师	sanzangfashi,szfs
三曹	sancao,sc
三曹对案	sancaoduian,scda
三策	sance,sc
三岑	sancen,sc
三层大	sancengda,scd
三叉戟	sanchaji,scj
三叉口	sanchakou,sck
三叉路	sanchalu,scl
三叉神经	sanchashenjing,scsj
三查三整	sanzhazheng,szz
三茶六饭	sanchaliufan,sclf
三茶六礼	sanchaliuli,scll
三岔口	sanchakou,sck
三岔路	sanchalu,scl
三岔路口	sanchalukou,sclk
三差两错	sanchaliangcuo,sclc
三差五错	sanchawucuo,scwc
三禅	sanchan,sc
三产	sanchan,sc
三常	sanchang,sc
三场	sanchang,sc
三朝	sanchao,sc
三朝五日	sanchaowuri,scwr
三朝元老	sanchaoyuanlao,scyl
三车客	sancheke,sck
三臣	sanchen,sc
三辰	sanchen,sc
三辰酒	sanchenjiu,scj
三陈	sanchen,sc
三成	sancheng,sc
三乘	sansheng,ss
三池	sanchi,sc
三尺	sanchi,sc
三尺布	sanchibu,scb
三尺法	sanchifa,scf
三尺锋	sanchifeng,scf
三尺喙	sanchihui,sch
三尺剑	sanchijian,scj
三尺焦桐	sanchijiaotong,scjt
三尺枯桐	sanchikutong,sckt
三尺律	sanchilu,scl
三尺男	sanchinan,scn
三尺青锋	sanchiqingfeng,scqf
三尺青蛇	sanchiqingshe,scqs
三尺秋霜	sanchiqiushuang,scqs
三尺水	sanchishui,scs
三尺桐	sanchitong,sct
三尺铜	sanchitong,sct
三尺童蒙	sanchitongmeng,sctm
三尺童子	sanchitongzi,sctz
三尺僮	sanchitong,sct
三尺土	sanchitu,sct
三尺雪	sanchixue,scx
三尺玉	sanchiyu,scy
三尺之孤	sanchizhigu,sczg
三尺之木	sanchizhimu,sczm
三尺轴	sanchizhou,scz
三虫	sanchong,sc
三仇	sanchou,sc
三刍	sanchu,sc
三楚	sanchu,sc
三处合	sanchuhe,sch
三黜	sanchu,sc
三川	sanchuan,sc
三传	sanchuan,sc
三垂	sanchui,sc
三春	sanchun,sc
三春晖	sanchunhui,sch
三春柳	sanchunliu,scl
三辞	sanci,sc
三次	sanci,sc
三次地	sancide,scd
三次方	sancifang,scf
三次方程	sancifangcheng,scfc
三次幂	sancimi,scm
三次曲线	sanciquxian,scqx
三次元	sanciyuan,scy
三刺	sanci,sc
三从	sancong,sc
三从四德	sancongside,scsd
三从兄弟	sancongxiongdi,scxd
三崔	sancui,sc
三催四请	sancuisiqing,scsq
三脆面	sancuimian,scm
三寸	sancun,sc
三寸不烂之舌	sancunbulanzhishe,scblzs
三寸弓	sancungong,scg
三寸管	sancunguan,scg
三寸黄甘	sancunhuanggan,schg
三寸鸡毛	sancunjimao,scjm
三寸金莲	sancunjinlian,scjl
三寸鸟	sancunniao,scn
三寸鸟七寸嘴	sancunniaoqizui,scnqz
三寸气	sancunqi,scq
三寸弱管	sancunruoguan,scrg
三寸弱翰	sancunruohan,scrh
三寸舌	sancunshe,scs
三寸咽	sancunyan,scy
三寸银钩	sancunyingou,scyg
三寸之舌	sancunzhishe,sczs
三寸之辖	sancunzhixia,sczx
三达	sanda,sd
三达德	sandade,sdd
三达尊	sandazun,sdz
三答不回头	sandabuhuitou,sdbht
三打不回头	sandabuhuitou,sdbht
三大差别	sandachabie,sdcb
三大殿	sandadian,sdd
三大发明	sandafaming,sdfm
三大法宝	sandafabao,sdfb
三大改造	sandagaizao,sdgz
三大户	sandahu,sdh
三大纪律	sandajilu,sdjl
三大纪律八项注意	sandajilubaxiangzhuyi,sdjlbxzy
三大节	sandajie,sdj
三大礼	sandali,sdl
三大奇书	sandaqishu,sdqs
三大士	sandashi,sds
三大书	sandashu,sds
三大洋	sandayang,sdy
三大运动	sandayundong,sdyd
三大战役	sandazhanyi,sdzy
三大政策	sandazhengce,sdzc
三大作风	sandazuofeng,sdzf
三代	sandai,sd
三代同堂	sandaitongtang,sdtt
三代执金	sandaizhijin,sdzj
三丹田	sandantian,sdt
三党	sandang,sd
三刀	sandao,sd
三刀梦	sandaomeng,sdm
三岛	sandao,sd
三岛十洲	sandaoshizhou,sdsz
三岛由纪夫	sandaoyoujifu,sdyjf
三到	sandao,sd
三倒	sandao,sd
三道	sandao,sd
三道眉草鹀	sandaomeicaowu,sdmcw
三道头	sandaotou,sdt
三得利	sandeli,sdl
三德	sande,sd
三地门	sandimen,sdm
三地门乡	sandimenxiang,sdmx
三登	sandeng,sd
三等分	sandengfen,sdf
三等分角	sandengfenjiao,sdfj
三等分角问题	sandengfenjiaowenti,sdfjwt
三等九般	sandengjiuban,sdjb
三等九格	sandengjiuge,sdjg
三翟	sanzhai,sz
三啇	sandi,sd
三谛	sandi,sd
三典	sandian,sd
三点	sandian,sd
三点会	sandianhui,sdh
三点检	sandianjian,sdj
三点全露	sandianquanlou,sdql
三点式	sandianshi,sds
三点水	sandianshui,sds
三殿	sandian,sd
三貂角	sandiaojiao,sdj
三调	sandiao,sd
三迭	sandie,sd
三迭纪	sandieji,sdj
三迭阳关	sandieyangguan,sdyg
三叠	sandie,sd
三叠纪	sandieji,sdj
三叠阳关	sandieyangguan,sdyg
三顶拐	sandingguai,sdg
三鼎	sanding,sd
三鼎甲	sandingjia,sdj
三定	sanding,sd
三冬	sandong,sd
三冬二夏	sandongerxia,sdex
三洞	sandong,sd
三都	sandou,sd
三都赋	sandoufu,sdf
三都水族自治县	sandushuizuzizhixian,sdszzzx
三都县	sanduxian,sdx
三斗尘	sandouchen,sdc
三斗葱	sandoucong,sdc
三斗醋	sandoucu,sdc
三毒	sandu,sd
三独	sandu,sd
三独坐	sanduzuo,sdz
三堵墙	sanduqiang,sdq
三度	sandu,sd
三蠹	sandu,sd
三端	sanduan,sd
三段	sanduan,sd
三段碑	sanduanbei,sdb
三段地	sanduande,sdd
三段论	sanduanlun,sdl
三对六面	sanduiliumian,sdlm
三对面先生	sanduimianxiansheng,sdmxs
三对三斗牛	sanduidouniu,sddn
三多	sanduo,sd
三娥	sane,se
三峨	sane,se
三恶	sane,se
三恶道	sanedao,sed
三恶趣	sanequ,seq
三耳	saner,se
三二	saner,se
三乏	sanfa,sf
三法	sanfa,sf
三法司	sanfasi,sfs
三番	sanfan,sf
三番两次	sanfanliangci,sflc
三番五次	sanfanwuci,sfwc
三番子	sanfanzi,sfz
三幡	sanfan,sf
三翻四复	sanfansifu,sfsf
三翻四覆	sanfansifu,sfsf
三藩	sanfan,sf
三藩叛乱	sanfanpanluan,sfpl
三藩市	sanfanshi,sfs
三藩之乱	sanfanzhiluan,sfzl
三反	sanfan,sf
三反四覆	sanfansifu,sfsf
三反运动	sanfanyundong,sfyd
三犯	sanfan,sf
三饭	sanfan,sf
三方	sanfang,sf
三方五氏	sanfangwushi,sfws
三房	sanfang,sf
三废	sanfei,sf
三分	sanfen,sf
三分鼎立	sanfendingli,sfdl
三分鼎足	sanfendingzu,sfdz
三分发	sanfenfa,sff
三分国	sanfenguo,sfg
三分熟	sanfenshu,sfs
三分似人	sanfensiren,sfsr
三分天下有其二	sanfentianxiayouqier,sftxyqe
三分头	sanfentou,sft
三分像人	sanfenxiangren,sfxr
三分之一	sanfenzhiyi,sfzy
三分钟热度	sanfenzhongredu,sfzrd
三坟	sanfen,sf
三坟五典	sanfenwudian,sfwd
三风	sanfeng,sf
三风十愆	sanfengshiqian,sfsq
三风太守	sanfengtaishou,sfts
三峰	sanfeng,sf
三凤	sanfeng,sf
三夫成市虎	sanfuchengshihu,sfcsh
三夫人	sanfuren,sfr
三夫之对	sanfuzhidui,sfzd
三夫之言	sanfuzhiyan,sfzy
三伏	sanfu,sf
三伏天	sanfutian,sft
三氟化硼	sanfuhuapeng,sfhp
三福	sanfu,sf
三甫	sanfu,sf
三府	sanfu,sf
三釜	sanfu,sf
三釜养	sanfuyang,sfy
三辅	sanfu,sf
三鬴	sanfu,sf
三父八母	sanfubamu,sfbm
三妇	sanfu,sf
三妇艳	sanfuyan,sfy
三复	sanfu,sf
三复白圭	sanfubaigui,sfbg
三复斯言	sanfusiyan,sfsy
三副	sanfu,sf
三赋	sanfu,sf
三覆	sanfu,sf
三陔	sangai,sg
三垓	sangai,sg
三改兔	sangaitu,sgt
三竿	sangan,sg
三竿日	sanganri,sgr
三笴	sangan,sg
三纲	sangang,sg
三纲五常	sangangwuchang,sgwc
三高	sangao,sg
三告官	sangaoguan,sgg
三告投杼	sangaotouzhu,sgtz
三阁	sange,sg
三革	sange,sg
三个臭皮匠	sangechoupijiang,sgcpj
三个代表	sangedaibiao,sgdb
三个和尚没水吃	sangeheshangmeishuichi,sghsmsc
三个和尚没水喝	sangeheshangmeishui,sghsms
三个面向	sangemianxiang,sgmx
三个女人一个墟	sangenurenyixu,sgnryx
三个女人一台戏	sangenurenyitaixi,sgnrytx
三个世界	sangeshijie,sgsj
三庚	sangeng,sg
三更	sangeng,sg
三更半夜	sangengbanye,sgby
三更枣	sangengzao,sgz
三工官	sangongguan,sgg
三公	sangong,sg
三公经费	sangongjingfei,sgjf
三公山碑	sangongshanbei,sgsb
三公消费	sangongxiaofei,sgxf
三公子	sangongzi,sgz
三宫	sangong,sg
三宫六院	sangongliuyuan,sgly
三狗	sangou,sg
三垢	sangou,sg
三估	sangu,sg
三姑	sangu,sg
三姑六婆	sanguliupo,sglp
三孤	sangu,sg
三古	sangu,sg
三鼓	sangu,sg
三嘏	sangu,sg
三顾	sangu,sg
三顾草庐	sangucaolu,sgcl
三顾茅庐	sangumaolu,sgml
三关	sanguan,sg
三关语	sanguanyu,sgy
三观	sanguan,sg
三官	sanguan,sg
三官大帝	sanguandadi,sgdd
三官钱	sanguanqian,sgq
三官手书	sanguanshoushu,sgss
三官堂	sanguantang,sgt
三冠	sanguan,sg
三馆	sanguan,sg
三光	sanguang,sg
三光政策	sanguangzhengce,sgzc
三归	sangui,sg
三归依	sanguiyi,sgy
三圭	sangui,sg
三龟	sangui,sg
三皈	sangui,sg
三珪	sangui,sg
三癸亭	sanguiting,sgt
三贵	sangui,sg
三跪九叩	sanguijiukou,sgjk
三国	sanguo,sg
三国史记	sanguoshiji,sgsj
三国演义	sanguoyanyi,sgyy
三国志	sanguozhi,sgz
三虢	sanguo,sg
三过	sanguo,sg
三过笔	sanguobi,sgb
三过其门而不入	sanguoqimenerburu,sgqmebr
三海	sanhai,sh
三害	sanhai,sh
三韩	sanhan,sh
三韩纸	sanhanzhi,shz
三豪	sanhao,sh
三好	sanhao,sh
三好二怯	sanhaoerqie,sheq
三好两歹	sanhaoliangdai,shld
三好两歉	sanhaoliangqian,shlq
三好生	sanhaosheng,shs
三号	sanhao,sh
三号电池	sanhaodianchi,shdc
三号木杆	sanhaomugan,shmg
三合	sanhe,sh
三合板	sanheban,shb
三合房	sanhefang,shf
三合会	sanhehui,shh
三合土	sanhetu,sht
三合星	sanhexing,shx
三合一	sanheyi,shy
三合一疫苗	sanheyimiao,shym
三合院	sanheyuan,shy
三何	sanhe,sh
三和	sanhe,sh
三和土	sanhetu,sht
三和弦	sanhexian,shx
三河	sanhe,sh
三河市	sanheshi,shs
三河县	sanhexian,shx
三翮六翼	sanheliuyi,shly
三恨	sanhen,sh
三衡	sanheng,sh
三红秀才	sanhongxiucai,shxc
三洪	sanhong,sh
三侯	sanhou,sh
三侯之章	sanhouzhizhang,shzz
三后	sanhou,sh
三候	sanhou,sh
三胡	sanhu,sh
三壶	sanhu,sh
三虎	sanhu,sh
三互法	sanhufa,shf
三户	sanhu,sh
三户亡秦	sanhuwangqin,shwq
三户谣	sanhuyao,shy
三护	sanhu,sh
三花	sanhua,sh
三花聚顶	sanhuajuding,shjd
三花脸	sanhualian,shl
三花马	sanhuama,shm
三花树	sanhuashu,shs
三淮南	sanhuainan,shn
三槐	sanhuai,sh
三槐九棘	sanhuaijiuji,shjj
三槐堂	sanhuaitang,sht
三槐之听	sanhuaizhiting,shzt
三环五扣	sanhuanwukou,shwk
三桓	sanhuan,sh
三浣	sanhuan,sh
三患	sanhuan,sh
三澣	sanhan,sh
三荒五月	sanhuangwuyue,shwy
三皇	sanhuang,sh
三皇炮捶	sanhuangpaochui,shpc
三皇五帝	sanhuangwudi,shwd
三黄	sanhuang,sh
三簧锁	sanhuangsuo,shs
三麾	sanhui,sh
三徽	sanhui,sh
三回九转	sanhuijiuzhuan,shjz
三回五次	sanhuiwuci,shwc
三回五解	sanhuiwujie,shwj
三会	sanhui,sh
三秽	sanhui,sh
三惠	sanhui,sh
三荤五厌	sanhunwuyan,shwy
三魂	sanhun,sh
三魂出窍	sanhunchuqiao,shcq
三魂七魄	sanhunqipo,shqp
三火	sanhuo,sh
三击掌	sanjizhang,sjz
三饥两饱	sanjiliangbao,sjlb
三级	sanji,sj
三级片	sanjipian,sjp
三级士官	sanjishiguan,sjsg
三级跳	sanjitiao,sjt
三级跳远	sanjitiaoyuan,sjty
三极	sanji,sj
三极管	sanjiguan,sjg
三疾	sanji,sj
三棘六异	sanjiliuyi,sjly
三脊茅	sanjimao,sjm
三戟	sanji,sj
三季	sanji,sj
三季稻	sanjidao,sjd
三祭	sanji,sj
三加	sanjia,sj
三家	sanjia,sj
三家村	sanjiacun,sjc
三家店	sanjiadian,sjd
三家分晋	sanjiafenjin,sjfj
三家诗	sanjiashi,sjs
三家藷	sanjiazhu,sjz
三甲	sanjia,sj
三价	sanjia,sj
三驾马车	sanjiamache,sjmc
三奸	sanjian,sj
三尖两刃刀	sanjianliangrendao,sjlrd
三尖杉酯碱	sanjianshanzhi,sjsz
三监	sanjian,sj
三缄	sanjian,sj
三缄其口	sanjianqikou,sjqk
三检	sanjian,sj
三件套式西装	sanjiantaoshixizhuang,sjtsxz
三剑	sanjian,sj
三谏之义	sanjianzhiyi,sjzy
三鉴	sanjian,sj
三键	sanjian,sj
三箭定天山	sanjiandingtianshan,sjdts
三江	sanjiang,sj
三江并流	sanjiangbingliu,sjbl
三江侗族自治县	sanjiangdongzuzizhixian,sjdzzzx
三江口	sanjiangkou,sjk
三江平原	sanjiangpingyuan,sjpy
三江七泽	sanjiangqize,sjqz
三江生态旅游区	sanjiangshengtailuyouqu,sjstlyq
三江五湖	sanjiangwuhu,sjwh
三江源	sanjiangyuan,sjy
三姜	sanjiang,sj
三将军	sanjiangjun,sjj
三交两句言	sanjiaoliangjuyan,sjljy
三郊	sanjiao,sj
三焦	sanjiao,sj
三蕉叶	sanjiaoye,sjy
三膲	sanjiao,sj
三角	sanjiao,sj
三角板	sanjiaoban,sjb
三角测量法	sanjiaoceliangfa,sjclf
三角地	sanjiaode,sjd
三角凳	sanjiaodeng,sjd
三角点	sanjiaodian,sjd
三角法	sanjiaofa,sjf
三角腹带	sanjiaofudai,sjfd
三角关系	sanjiaoguanxi,sjgx
三角函数	sanjiaohanshu,sjhs
三角恒等式	sanjiaohengdengshi,sjhds
三角肌	sanjiaoji,sjj
三角髻	sanjiaoji,sjj
三角巾	sanjiaojin,sjj
三角恐龙	sanjiaokonglong,sjkl
三角裤	sanjiaoku,sjk
三角裤衩	sanjiaokucha,sjkc
