言笔	yanbi,yb
言音	yanyin,yy
言咏	yanyong,yy
言犹在耳	yanyouzaier,yyze
言有尽而意无穷	yanyoujineryiwuqiong,yyjeywq
言与心违	yanyuxinwei,yyxw
言语	yanyu,yy
言语道断	yanyudaoduan,yydd
言语路绝	yanyulujue,yylj
言语妙天下	yanyumiaotianxia,yymtx
言语缺陷	yanyuquexian,yyqx
言语失常症	yanyushichangzheng,yyscz
言喻	yanyu,yy
言愿	yanyuan,yy
言约	yanyue,yy
言约旨远	yanyuezhiyuan,yyzy
言责	yanze,yz
言展	yanzhan,yz
言章	yanzhang,yz
言者	yanzhe,yz
言者不知	yanzhebuzhi,yzbz
言者弗知	yanzhefuzhi,yzfz
言者无罪	yanzhewuzui,yzwz
言者谆谆	yanzhezhun,yzz
言之不文	yanzhibuwen,yzbw
言之不预	yanzhibuyu,yzby
言之成理	yanzhichengli,yzcl
言之过甚	yanzhiguoshen,yzgs
言之过早	yanzhiguozao,yzgz
言之无文	yanzhiwuwen,yzww
言之无物	yanzhiwu,yzw
言之有故	yanzhiyougu,yzyg
言之有据	yanzhiyouju,yzyj
言之有礼	yanzhiyouli,yzyl
言之有理	yanzhiyouli,yzyl
言之有物	yanzhiyouwu,yzyw
言之有序	yanzhiyouxu,yzyx
言之凿凿	yanzhizao,yzz
言之谆谆	yanzhizhun,yzz
言职	yanzhi,yz
言旨	yanzhi,yz
言志	yanzhi,yz
言制	yanzhi,yz
言致	yanzhi,yz
言智	yanzhi,yz
言中	yanzhong,yz
言中事隐	yanzhongshiyin,yzsy
言重	yanzhong,yz
言重九鼎	yanzhongjiuding,yzjd
言状	yanzhuang,yz
言字旁	yanzipang,yzp
