懋册	maoce,mc
懋成	maocheng,mc
懋德	maode,md
懋典	maodian,md
懋甸	maodian,md
懋敦	maodun,md
懋功	maogong,mg
懋官	maoguan,mg
懋轨	maogui,mg
懋化	maohua,mh
懋迹	maoji,mj
懋绩	maoji,mj
懋建	maojian,mj
懋戒	maojie,mj
懋敬	maojing,mj
懋历	maoli,ml
懋列	maolie,ml
懋懋	mao,m
懋明	maoming,mm
懋能	maoneng,mn
懋迁	maoqian,mq
懋勤殿	maoqindian,mqd
懋赏	maoshang,ms
懋修	maoxiu,mx
懋选	maoxuan,mx
懋学	maoxue,mx
懋勋	maoxun,mx
懋扬	maoyang,my
懋业	maoye,my
懋易	maoyi,my
懋膺	maoying,my
懋庸	maoyong,my
懋长	maochang,mc
懋昭	maozhao,mz
懋着	maozhe,mz
