欲罢不能	yubabuneng,ybbn
欲尘	yuchen,yc
欲刺	yuci,yc
欲待	yudai,yd
欲得	yude,yd
欲得而甘心	yudeerganxin,ydegx
欲滴	yudi,yd
欲盖而彰	yugaierzhang,ygez
欲盖弥彰	yugaimizhang,ygmz
欲根	yugen,yg
欲海	yuhai,yh
欲好	yuhao,yh
欲壑	yuhe,yh
欲壑难填	yuhenantian,yhnt
欲厚遗之	yuhouweizhi,yhwz
欲火	yuhuo,yh
欲火焚身	yuhuofenshen,yhfs
欲加之罪	yujiazhizui,yjzz
欲界	yujie,yj
欲经	yujing,yj
欲绝	yujue,yj
欲利	yuli,yl
欲虑	yulu,yl
欲念	yunian,yn
欲女	yunu,yn
欲擒故纵	yuqinguzong,yqgz
欲情	yuqing,yq
欲求	yuqiu,yq
欲取姑与	yuqugu,yqg
欲取姑予	yuqugu,yqg
欲取故予	yuqugu,yqg
欲人勿知	yurenwuzhi,yrwz
欲谁归罪	yushuiguizhui,ysgz
欲事	yushi,ys
欲似	yusi,ys
欲速不达	yusubuda,ysbd
欲速而不达	yusuerbuda,ysebd
欲速反迟	yusufanchi,ysfc
欲速则不达	yusuzebuda,yszbd
欲望	yuwang,yw
欲仙欲死	yuxiansi,yxs
欲心	yuxin,yx
欲言又止	yuyanyouzhi,yyyz
欲扬先抑	yuyangxianyi,yyxy
欲以	yuyi,yy
欲益反弊	yuyifanbi,yyfb
欲益反损	yuyifansun,yyfs
欲鄣	yuzhang,yz
欲障	yuzhang,yz
欲振乏力	yuzhenfali,yzfl
