嬴博	yingbo,yb
嬴储	yingchu,yc
嬴绌	yingchu,yc
嬴得	yingde,yd
嬴盖	yinggai,yg
嬴奸买俏	yingjianmaiqiao,yjmq
嬴粮	yingliang,yl
嬴刘	yingliu,yl
嬴镂	yinglou,yl
嬴女	yingnu,yn
嬴秦	yingqin,yq
嬴氏	yingshi,ys
嬴缩	yingsuo,ys
嬴台	yingtai,yt
嬴台女	yingtainu,ytn
嬴土	yingtu,yt
嬴项	yingxiang,yx
嬴嬴	ying,y
嬴嬴缩缩	yingsuo,ys
嬴余	yingyu,yy
嬴育	yingyu,yy
嬴越	yingyue,yy
嬴政	yingzheng,yz
