栋材	dongcai,dc
栋榱	dongcui,dc
栋鄂	donge,de
栋鄂部	dongebu,deb
栋桴	dongfu,df
栋干	donggan,dg
栋号	donghao,dh
栋梁	dongliang,dl
栋梁材	dongliangcai,dlc
栋梁之才	dongliangzhicai,dlzc
栋梁之材	dongliangzhicai,dlzc
栋隆	donglong,dl
栋甍	dongmeng,dm
栋挠	dongnao,dn
栋桡	dongrao,dr
栋星	dongxing,dx
栋朽榱崩	dongxiucuibeng,dxcb
栋楹	dongying,dy
栋宇	dongyu,dy
栋折	dongshe,ds
栋折榱崩	dongzhecuibeng,dzcb
栋折榱坏	dongshecuihuai,dsch
