瞒报	manbao,mb
瞒藏	mancang,mc
瞒产	manchan,mc
瞒裆袴	mandangku,mdk
瞒裆裤	mandangku,mdk
瞒官不瞒私	manguanbusi,mgbs
瞒哄	manhong,mh
瞒唬	manhu,mh
瞒落	manluo,ml
瞒瞒	man,m
瞒瞒顸顸	manhan,mh
瞒瞒昧昧	manmei,mm
瞒昧	manmei,mm
瞒骗	manpian,mp
瞒然	manran,mr
瞒人汉	manrenhan,mrh
瞒上不瞒下	manshangbuxia,msbx
瞒上欺下	manshangqixia,msqx
瞒神弄鬼	manshennonggui,msng
瞒天	mantian,mt
瞒天大谎	mantiandahuang,mtdh
瞒天过海	mantianguohai,mtgh
瞒天谎	mantianhuang,mth
瞒天瞒地	mantiandi,mtd
瞒天昧地	mantianmeidi,mtmd
瞒天讨价	mantiantaojia,mttj
瞒天席地	mantianxidi,mtxd
瞒天要价	mantianyaojia,mtyj
瞒天账	mantianzhang,mtz
瞒天智	mantianzhi,mtz
瞒心	manxin,mx
瞒心昧己	manxinmeiji,mxmj
瞒隐	manyin,my
瞒怨	manyuan,my
