帆板	fanban,fb
帆板运动	fanbanyundong,fbyd
帆背潜鸭	fanbeiqianya,fbqy
帆舶	fanbo,fb
帆布	fanbu,fb
帆布包	fanbubao,fbb
帆布床	fanbuchuang,fbc
帆布鞋	fanbuxie,fbx
帆船	fanchuan,fc
帆船运动	fanchuanyundong,fcyd
帆颠	fandian,fd
帆风	fanfeng,ff
帆幅	fanfu,ff
帆腹	fanfu,ff
帆海	fanhai,fh
帆楫	fanji,fj
帆檝	fanji,fj
帆脚	fanjiao,fj
帆具	fanju,fj
帆力	fanli,fl
帆幔	fanman,fm
帆篷	fanpeng,fp
帆樯	fanqiang,fq
帆伞	fansan,fs
帆势	fanshi,fs
帆索	fansuo,fs
帆帏	fanwei,fw
帆席	fanxi,fx
帆叶	fanye,fy
帆影	fanying,fy
