凈办	jingban,jb
凈财	jingcai,jc
凈床	jingchuang,jc
凈荡荡	jingdang,jd
凈发	jingfa,jf
凈饭王	jingfanwang,jfw
凈国	jingguo,jg
凈话	jinghua,jh
凈洁	jingjie,jj
凈尽	jingjin,jj
凈觉	jingjue,jj
凈军	jingjun,jj
凈濑	jinglai,jl
凈丽	jingli,jl
凈练	jinglian,jl
凈门	jingmen,jm
凈扫	jingsao,js
凈饰	jingshi,js
凈坛	jingtan,jt
凈头	jingtou,jt
凈袜	jingwa,jw
凈业	jingye,jy
凈馔	jingzhuan,jz
