昵爱	niai,na
昵比	nibi,nb
昵嬖	nibi,nb
昵宾	nibin,nb
昵称	nicheng,nc
昵词	nici,nc
昵辞	nici,nc
昵道	nidao,nd
昵附	nifu,nf
昵好	nihao,nh
昵厚	nihou,nh
昵欢	nihuan,nh
昵交	nijiao,nj
昵近	nijin,nj
昵就	nijiu,nj
昵眷	nijuan,nj
昵款	nikuan,nk
昵昵	ni,n
昵洽	niqia,nq
昵亲	niqin,nq
昵侍	nishi,ns
昵属	nishu,ns
昵戏	nixi,nx
昵狎	nixia,nx
昵嫌	nixian,nx
昵媟	nixie,nx
昵幸	nixing,nx
昵宴	niyan,ny
昵依	niyi,ny
昵友	niyou,ny
昵谀	niyu,ny
昵语	niyu,ny
