毗补	pibu,pb
毗奉	pifeng,pf
毗辅	pifu,pf
毗富	pifu,pf
毗岚	pilan,pl
毗蓝婆	pilanpo,plp
毗狸	pili,pl
毗离	pili,pl
毗连	pilian,pl
毗联	pilian,pl
毗邻	pilin,pl
毗陵	piling,pl
毗刘	piliu,pl
毗卢	pilu,pl
毗卢帽	pilumao,plm
毗罗帽	piluomao,plm
毗尼	pini,pn
毗沙	pisha,ps
毗沙门	pishamen,psm
毗沙门天王	pishamentianwang,psmtw
毗舍	pishe,ps
毗湿奴	pishinu,psn
毗戏	pixi,px
毗邪	pixie,px
毗燮	pixie,px
毗耶	piye,py
毗耶娑	piyesuo,pys
毗倚	piyi,py
毗益	piyi,py
毗翼	piyi,py
毗勇	piyong,py
毗赞	pizan,pz
毗助	pizhu,pz
毗佐	pizuo,pz
