义薄云天	yiboyuntian,ybyt
义兵	yibing,yb
义不反顾	yibufangu,ybfg
义不取容	yibuqurong,ybqr
义不容辞	yiburongci,ybrc
义不生财	yibushengcai,ybsc
义仓	yicang,yc
义齿	yichi,yc
义辞	yici,yc
义从	yicong,yc
义大利	yidali,ydl
义胆忠肝	yidanzhonggan,ydzg
义地	yidi,yd
义帝	yidi,yd
义谛	yidi,yd
义殿	yidian,yd
义丁	yiding,yd
义度	yidu,yd
义断	yiduan,yd
义断恩绝	yiduanenjue,ydej
义儿	yier,ye
义儿军	yierjun,yej
义法	yifa,yf
义方	yifang,yf
义分	yifen,yf
义愤	yifen,yf
义愤地	yifende,yfd
义愤填胸	yifentianxiong,yftx
义愤填膺	yifentianying,yfty
义风	yifeng,yf
义夫	yifu,yf
义服	yifu,yf
义府	yifu,yf
义父	yifu,yf
义父母	yifumu,yfm
义附	yifu,yf
义赋	yifu,yf
义概	yigai,yg
义竿	yigan,yg
义戈	yige,yg
义工	yigong,yg
义功	yigong,yg
义姑姊	yiguzi,ygz
义谷	yigu,yg
义故	yigu,yg
义关	yiguan,yg
义管笙	yiguansheng,ygs
义海	yihai,yh
义海恩山	yihaienshan,yhes
义和	yihe,yh
义和乱	yiheluan,yhl
义和拳	yihequan,yhq
义和团	yihetuan,yht
义和团运动	yihetuanyundong,yhtyd
义壑	yihe,yh
义怀	yihuai,yh
义槥	yihui,yh
义疾	yiji,yj
义髻	yiji,yj
义甲	yijia,yj
义剑	yijian,yj
义浆	yijiang,yj
义浆仁粟	yijiangrensu,yjrs
义交	yijiao,yj
义角	yijiao,yj
义教	yijiao,yj
义节	yijie,yj
义结金兰	yijiejinlan,yjjl
义经	yijing,yj
义井	yijing,yj
义警	yijing,yj
义酒	yijiu,yj
义旧	yijiu,yj
义居	yiju,yj
义举	yiju,yj
义据	yiju,yj
义聚	yiju,yj
义捐	yijuan,yj
义军	yijun,yj
义郎	yilang,yl
义类	yilei,yl
义理	yili,yl
义例	yili,yl
义粮	yiliang,yl
义烈	yilie,yl
义廪	yilin,yl
义路	yilu,yl
义侣	yilu,yl
义旅	yilu,yl
义马	yima,ym
义马市	yimashi,yms
义卖	yimai,ym
义卖会	yimaihui,ymh
义脉	yimai,ym
义门	yimen,ym
义米	yimi,ym
义民	yimin,ym
义命	yiming,ym
义墨	yimo,ym
义谋	yimou,ym
义母	yimu,ym
义男	yinan,yn
义男儿	yinaner,yne
义鸟	yiniao,yn
义怒	yinu,yn
义女	yinu,yn
义铺	yipu,yp
义妻	yiqi,yq
义旗	yiqi,yq
义气	yiqi,yq
义气相投	yiqixiangtou,yqxt
义阡	yiqian,yq
义钱	yiqian,yq
义渠	yiqu,yq
义趣	yiqu,yq
义犬	yiquan,yq
义然	yiran,yr
义让	yirang,yr
义人	yiren,yr
义荣	yirong,yr
义色	yise,ys
义舍	yishe,ys
义社	yishe,ys
义声	yisheng,ys
义师	yishi,ys
义士	yishi,ys
义士民	yishimin,ysm
义事	yishi,ys
义试	yishi,ys
义手	yishou,ys
义疏	yishu,ys
义塾	yishu,ys
义鼠	yishu,ys
义说	yishuo,ys
义死	yisi,ys
义嗣	yisi,ys
义髓	yisui,ys
义岁	yisui,ys
义台	yitai,yt
义田	yitian,yt
义粜	yitiao,yt
义徒	yitu,yt
义味	yiwei,yw
义问	yiwen,yw
义乌	yiwu,yw
义乌兵	yiwubing,ywb
义乌市	yiwushi,yws
义无反顾	yiwufangu,ywfg
义无旋踵	yiwuxuanzhong,ywxz
义务	yiwu,yw
义务兵	yiwubing,ywb
义务兵役制	yiwubingzhi,ywbz
义务工	yiwugong,ywg
义务工作者	yiwugongzuozhe,ywgzz
义务教育	yiwujiaoyu,ywjy
义务劳动	yiwulaodong,ywld
义息	yixi,yx
义侠	yixia,yx
义县	yixian,yx
义县龙	yixianlong,yxl
义项	yixiang,yx
义象	yixiang,yx
义孝	yixiao,yx
义心	yixin,yx
义信	yixin,yx
义刑	yixing,yx
义刑义杀	yixingsha,yxs
义行	yixing,yx
义形	yixing,yx
义形于色	yixingyuse,yxys
义兴	yixing,yx
义兄弟	yixiongdi,yxd
义学	yixue,yx
义训	yixun,yx
义言	yiyan,yy
义眼	yiyan,yy
义演	yiyan,yy
义养	yiyang,yy
义役	yi,y
义译	yi,y
义意	yi,y
义淫	yiyin,yy
义勇	yiyong,yy
义勇军	yiyongjun,yyj
义勇军进行曲	yiyongjunjinxingqu,yyjjxq
义友	yiyou,yy
义渊	yiyuan,yy
义园	yiyuan,yy
义蕴	yiyun,yy
义藴	yiyun,yy
义赃	yizang,yz
义战	yizhan,yz
义诊	yizhen,yz
义赈	yizhen,yz
义征	yizheng,yz
义正	yizheng,yz
义正词严	yizhengciyan,yzcy
义正辞严	yizhengciyan,yzcy
义正辞约	yizhengciyue,yzcy
义证	yizheng,yz
义政	yizheng,yz
义之所在	yizhisuozai,yzsz
义肢	yizhi,yz
义旨	yizhi,yz
义志	yizhi,yz
义终	yizhong,yz
义冢	yizhong,yz
义众	yizhong,yz
义重恩深	yizhongenshen,yzes
义竹	yizhu,yz
义竹乡	yizhuxiang,yzx
义主	yizhu,yz
义庄	yizhuang,yz
义状	yizhuang,yz
义觜笛	yizidi,yzd
义子	yizi,yz
义宗	yizong,yz
义租	yizu,yz
义足	yizu,yz
义嘴笛	yizuidi,yzd
义樽	yizun,yz
义作	yizuo,yz
