厂臣	changchen,cc
厂珰	changdang,cd
厂甸	changdian,cd
厂畈	changfan,cf
厂方	changfang,cf
厂房	changfang,cf
厂工	changgong,cg
厂规	changgui,cg
厂纪	changji,cj
厂家	changjia,cj
厂矿	changkuang,ck
厂礼拜	changlibai,clb
厂牌	changpai,cp
厂区	changqu,cq
厂商	changshang,cs
厂史	changshi,cs
厂丝	changsi,cs
厂卫	changwei,cw
厂屋	changwu,cw
厂休	changxiu,cx
厂衣	changyi,cy
厂狱	changyu,cy
厂长	changzhang,cz
厂址	changzhi,cz
厂主	changzhu,cz
厂子	changzi,cz
厂字旁	changzipang,czp
