以埃	yiai,ya
以巴	yiba,yb
以白诋青	yibaidiqing,ybdq
以白为黑	yibaiweihei,ybwh
以半击倍	yibanjibei,ybjb
以暴易暴	yibao,yb
以暴制暴	yibaozhi,ybz
以北	yibei,yb
以备不测	yibeibuce,ybbc
以本人名	yibenrenming,ybrm
以便	yibian,yb
以冰致绳	yibingzhisheng,ybzs
以冰致蝇	yibingzhiying,ybzy
以不	yibu,yb
以不变应万变	yibubianyingwan,ybbyw
以不济可	yifoujike,yfjk
以茶当酒	yichadangjiu,ycdj
以诚相待	yichengxiangdai,ycxd
以词害意	yicihai,ych
以辞害意	yicihai,ych
以辞取人	yiciquren,ycqr
以此	yici,yc
以此类推	yicileitui,yclt
以此为	yiciwei,ycw
以次	yici,yc
以刺世事	yicishi,ycs
以大恶细	yidawuxi,ydwx
以党举官	yidangjuguan,ydjg
以徳报德	yidebao,ydb
以德报德	yidebaoyu,ydby
以德报怨	yidebaoyuan,ydby
以德服人	yidefuren,ydfr
以德追祸	yidezhuihuo,ydzh
以地换地	yidehuan,ydh
以点带面	yidiandaimian,yddm
以电报地	yidianbaode,ydbd
以定	yiding,yd
以东	yidong,yd
以毒攻毒	yidugong,ydg
以碫投卵	yiduantouluan,ydtl
以讹传讹	yiechuan,yec
以恶报恶	yiebao,yeb
以耳代目	yierdaimu,yedm
以耳为目	yierweimu,yewm
以法莲	yifalian,yfl
以法为教	yifaweijiao,yfwj
以防	yifang,yf
以防不测	yifangbuce,yfbc
以防万一	yifangwan,yfw
以丰补歉	yifengbuqian,yfbq
以否	yifou,yf
以弗所	yifusuo,yfs
以弗所书	yifusuoshu,yfss
以副养农	yifuyangnong,yfyn
以戈舂黍	yigechongshu,ygcs
以工代干	yigongdaigan,ygdg
以工代赈	yigongdaizhen,ygdz
以公灭私	yigongmiesi,ygms
以功补过	yigongbuguo,ygbg
以攻为守	yigongweishou,ygws
以宫笑角	yigongxiaojue,ygxj
以古方今	yigufangjin,ygfj
以古非今	yigufeijin,ygfj
以古为鉴	yiguweijian,ygwj
以古为镜	yiguweijing,ygwj
以古喻今	yiguyujin,ygyj
以古制今	yiguzhijin,ygzj
以骨去蚁	yiguqu,ygq
以瞽引瞽	yiguyin,ygy
以故	yigu,yg
以观后効	yiguanhouxiao,yghx
以观后效	yiguanhouxiao,yghx
以冠补履	yiguanbulu,ygbl
以筦窥天	yiguankuitian,ygkt
以管窥豹	yiguankuibao,ygkb
以管窥天	yiguankuitian,ygkt
以规为瑱	yiguiweitian,ygwt
以还	yihuan,yh
以合唱地	yihechangde,yhcd
以和为贵	yiheweigui,yhwg
以荷析薪	yihexixin,yhxx
以黑为白	yiheiweibai,yhwb
以后	yihou,yh
以后地	yihoude,yhd
以华制华	yihuazhi,yhz
以毁为罚	yihuiweifa,yhwf
以火救火	yihuojiu,yhj
以火去蛾	yihuoque,yhqe
以火止沸	yihuozhifei,yhzf
以及	yiji,yj
以己度人	yijiduoren,yjdr
以己之心	yijizhixin,yjzx
以计代战	yijidaizhan,yjdz
以假乱真	yijialuanzhen,yjlz
以煎止燔	yijianzhifan,yjzf
以简驭繁	yijianyufan,yjyf
以简御繁	yijianyufan,yjyf
以贱雪贵	yijianxuegui,yjxg
以降	yijiang,yj
以胶投漆	yijiaotouqi,yjtq
以尽吾齿	yijinwuci,yjwc
以近	yijin,yj
以儆效尤	yijingxiaoyou,yjxy
以酒解酲	yijiujiecheng,yjjc
以绝后患	yijuehouhuan,yjhh
以军	yijun,yj
以渴服马	yikefuma,ykfm
以口问心	yikouwenxin,ykwx
以快先睹	yikuaixiandu,ykxd
以快言论	yikuaiyanlun,ykyl
以来	yilai,yl
以老大自居	yilaodaziju,yldzj
以老卖老	yilaomai,ylm
以泪洗面	yileiximian,ylxm
以类相从	yileixiangcong,ylxc
以狸饵鼠	yiliershu,yles
以狸至鼠	yilizhishu,ylzs
以狸致鼠	yilizhishu,ylzs
以蠡测海	yilicehai,ylch
以礼相待	yilixiangdai,ylxd
以理服人	yilifuren,ylfr
以理去官	yiliquguan,ylqg
以力服人	yilifuren,ylfr
以利累形	yilileixing,yllx
以利相倾	yilixiangqu,ylxq
以利亚	yiliya,yly
以利亚敬	yiliyajing,ylyj
以利亚撒	yiliyasa,ylys
