宇庇	yubi,yb
宇称	yucheng,yc
宇称守恒	yuchengshouheng,ycsh
宇达	yuda,yd
宇甸	yudian,yd
宇航	yuhang,yh
宇航服	yuhangfu,yhf
宇航局	yuhangju,yhj
宇航员	yuhangyuan,yhy
宇寰	yuhuan,yh
宇量	yuliang,yl
宇溜	yuliu,yl
宇庙	yumiao,ym
宇内	yunei,yn
宇普西龙	yupuxilong,ypxl
宇穹	yuqiong,yq
宇室	yushi,ys
宇守	yushou,ys
宇庭	yuting,yt
宇文	yuwen,yw
宇文氏	yuwenshi,yws
宇文周	yuwenzhou,ywz
宇下	yuxia,yx
宇县	yuxian,yx
宇荫	yuyin,yy
宇廕	yuyin,yy
宇宙	yuzhou,yz
宇宙地	yuzhoude,yzd
宇宙飞船	yuzhoufeichuan,yzfc
宇宙观	yuzhouguan,yzg
宇宙航行	yuzhouhangxing,yzhx
宇宙号	yuzhouhao,yzh
宇宙火箭	yuzhouhuojian,yzhj
宇宙空间	yuzhoukongjian,yzkj
宇宙射线	yuzhoushexian,yzsx
宇宙生成论	yuzhoushengchenglun,yzscl
宇宙速度	yuzhousudu,yzsd
宇宙通信	yuzhoutongxin,yztx
宇宙线	yuzhouxian,yzx
宇宙学	yuzhouxue,yzx
