卜卜	bu,b
卜卜地	bode,bd
卜卜米	bomi,bm
卜辞	buci,bc
卜旦	budan,bd
卜地	budi,bd
卜第	budi,bd
卜禘	budi,bd
卜鼎	buding,bd
卜度	budu,bd
卜儿	buer,be
卜凤	bufeng,bf
卜工	bugong,bg
卜骨	bugu,bg
卜卦	bugua,bg
卜官	buguan,bg
卜稽	buji,bj
卜吉	buji,bj
卜甲	bujia,bj
卜郊	bujiao,bj
卜珓	bujiao,bj
卜居	buju,bj
卜课	buke,bk
卜揆	bukui,bk
卜浪鼓	bulanggu,blg
卜老	bulao,bl
卜楞	buleng,bl
卜邻	bulin,bl
卜林	bulin,bl
卜卢	bulu,bl
卜洛	buluo,bl
卜落	buluo,bl
卜名	buming,bm
卜年	bunian,bn
卜钱	buqian,bq
卜巧	buqiao,bq
卜人	buren,br
卜日	buri,br
卜师	bushi,bs
卜食	bushi,bs
卜士	bushi,bs
卜世	bushi,bs
卜室	bushi,bs
卜筮	bushi,bs
卜簭	bushi,bs
卜数	bushu,bs
卜数师	bushushi,bss
卜数只偶	bushuzhiou,bszo
卜肆	busi,bs
卜算	busuan,bs
卜算子	busuanzi,bsz
卜岁	busui,bs
卜通	butong,bt
卜问	buwen,bw
卜相	buxiang,bx
卜相工	buxianggong,bxg
卜筊	bujiao,bj
卜夜	buye,by
卜夜卜昼	buyezhou,byz
卜尹	buyin,by
卜右	buyou,by
卜宇	buyu,by
卜葬	buzang,bz
卜宅	buzhai,bz
卜占	buzhan,bz
卜者	buzhe,bz
卜征	buzheng,bz
卜正	buzheng,bz
卜昼卜夜	buzhouye,bzy
卜祝	buzhu,bz
卜筑	buzhu,bz
