腥臭	xingchou,xc
腥翠	xingcui,xc
腥德	xingde,xd
腥氛	xingfen,xf
腥风	xingfeng,xf
腥风醎雨	xingfengxianyu,xfxy
腥风血雨	xingfengxueyu,xfxy
腥腐	xingfu,xf
腥膏	xinggao,xg
腥秽	xinghui,xh
腥蝼	xinglou,xl
腥腻	xingni,xn
腥气	xingqi,xq
腥窍	xingqiao,xq
腥臊	xingsao,xs
腥臊膻香	xingsaoshanxiang,xssx
腥臊羶香	xingsaoshanxiang,xssx
腥膻	xingshan,xs
腥羴	xingshan,xs
腥羶	xingshan,xs
腥生	xingsheng,xs
腥味儿	xingweier,xwe
腥闻	xingwen,xw
腥闻在上	xingwenzaishang,xwzs
腥污	xingwu,xw
腥鲜	xingxian,xx
腥血	xingxue,xx
腥鱼	xingyu,xy
