栗斑杜鹃	libandujuan,lbdj
栗斑腹鹀	libanfuwu,lbfw
栗暴	libao,lb
栗爆	libao,lb
栗背伯劳	libeibolao,lbbl
栗背短翅鸫	libeiduanchidong,lbdcd
栗背短脚鹎	libeiduanjiao,lbdj
栗背奇鹛	libeiqimei,lbqm
栗背岩鹨	libeiyanliu,lbyl
栗犊	lidu,ld
栗额䴗鹛	liejumei,lejm
栗耳短脚鹎	lierduanjiaobei,ledjb
栗耳凤鹛	lierfengmei,lefm
栗耳鹀	lierwu,lew
栗房	lifang,lf
栗荴	lifu,lf
栗跗	lifu,lf
栗腹歌鸲	lifugequ,lfgq
栗腹矶鸫	lifujidong,lfjd
栗腹䴓	lifushi,lfs
栗腹文鸟	lifuwenniao,lfwn
栗冈砚	ligangyan,lgy
栗骇	lihai,lh
栗喉蜂虎	lihoufenghu,lhfh
栗喉䴗鹛	lihoujumei,lhjm
栗黄	lihuang,lh
栗颊噪鹛	lijiazaomei,ljzm
栗鳽	liyan,ly
栗阶	lijie,lj
栗颈噪鹛	lijingzaomei,ljzm
栗喇	lila,ll
栗里	li,l
栗理	li,l
栗栗	li,l
栗栗危惧	liweiju,lwj
栗冽	lilie,ll
栗烈	lilie,ll
栗烈觱发	liliebifa,llbf
栗留	liliu,ll
栗陆	lilu,ll
栗密	limi,lm
栗木	limu,lm
栗蓬	lipeng,lp
栗惓	liquan,lq
栗然	liran,lr
栗如	liru,lr
栗锐	lirui,lr
栗色	lise,ls
栗鼠	lishu,ls
栗树鸭	lishuya,lsy
栗斯	lisi,ls
栗缩	lisuo,ls
栗头八色鸫	litoubasedong,ltbsd
栗头地莺	litoudiying,ltdy
栗头蜂虎	litoufenghu,ltfh
栗头雀鹛	litouquemei,ltqm
栗头鹟莺	litouwengying,ltwy
栗臀䴓	litunshi,lts
栗尾	liwei,lw
栗苇鳽	liweiyan,lwy
栗温	liwen,lw
栗鹀	liwu,lw
栗罅	lixia,lx
栗鸮	lixiao,lx
栗楔	lixie,lx
栗薪	lixin,lx
栗玉花	liyuhua,lyh
栗玉砚	liyuyan,lyy
栗芋	liyu,ly
栗鸢	liyuan,ly
栗凿	lizao,lz
栗皱	lizhou,lz
栗主	lizhu,lz
栗啄木鸟	lizhuomuniao,lzmn
栗子	lizi,lz
