瞪瞪	deng,d
瞪愕	denge,de
瞪服	dengfu,df
瞪羚	dengling,dl
瞪眉瞠眼	dengmeichengyan,dmcy
瞪瞢	dengmeng,dm
瞪矒	dengmeng,dm
瞪眄	dengmian,dm
瞪眸	dengmou,dm
瞪目	dengmu,dm
瞪目哆口	dengmuchikou,dmck
瞪目结舌	dengmujieshe,dmjs
瞪目凝视	dengmuningshi,dmns
瞪视	dengshi,ds
瞪鞋摇滚	dengxieyaogun,dxyg
瞪眼	dengyan,dy
瞪眼睛吹胡子	dengyanjingchuihuzi,dyjchz
瞪眼瞎	dengyanxia,dyx
瞪眼咋舌	dengyanzeshe,dyzs
瞪眙	dengyi,dy
