萍泛	pingfan,pf
萍浮	pingfu,pf
萍梗	pinggeng,pg
萍合	pinghe,ph
萍虀	pingji,pj
萍迹	pingji,pj
萍寄	pingji,pj
萍剑	pingjian,pj
萍聚	pingju,pj
萍卡菲尔特	pingkafeierte,pkfet
萍流	pingliu,pl
萍蓬	pingpeng,pp
萍蓬草	pingpengcao,ppc
萍飘	pingpiao,pp
萍飘蓬转	pingpiaopengzhuan,pppz
萍漂	pingpiao,pp
萍泊	pingbo,pb
萍身	pingshen,ps
萍实	pingshi,ps
萍氏	pingshi,ps
萍水	pingshui,ps
萍水相逢	pingshuixiangfeng,psxf
萍乡	pingxiang,px
萍乡市	pingxiangshi,pxs
萍寓	pingyu,py
萍藻	pingzao,pz
萍踪	pingzong,pz
萍踪浪迹	pingzonglangji,pzlj
萍踪浪影	pingzonglangying,pzly
