缃牒	xiangdie,xd
缃核桃	xianghetao,xht
缃荷	xianghe,xh
缃花	xianghua,xh
缃缣	xiangjian,xj
缃简	xiangjian,xj
缃节	xiangjie,xj
缃奁	xianglian,xl
缃匳	xianglian,xl
缃緑	xianglu,xl
缃梅	xiangmei,xm
缃囊	xiangnang,xn
缃缥	xiangpiao,xp
缃绮	xiangqi,xq
缃缛	xiangru,xr
缃蕤	xiangrui,xr
缃素	xiangsu,xs
缃桃	xiangtao,xt
缃帖	xiangtie,xt
缃图	xiangtu,xt
缃舃	xiangtuo,xt
缃叶	xiangye,xy
缃衣	xiangyi,xy
缃帻	xiangze,xz
缃枝	xiangzhi,xz
缃帙	xiangzhi,xz
缃轴	xiangzhou,xz
