睽迸	kuibeng,kb
睽变	kuibian,kb
睽别	kuibie,kb
睽辞	kuici,kc
睽隔	kuige,kg
睽孤	kuigu,kg
睽罛	kuigu,kg
睽合	kuihe,kh
睽间	kuijian,kj
睽睽	kui,k
睽阔	kuikuo,kk
睽离	kuili,kl
睽眠	kuimian,km
睽目	kuimu,km
睽阕	kuique,kq
睽时	kuishi,ks
睽睢	kuisui,ks
睽索	kuisuo,ks
睽违	kuiwei,kw
睽忤	kuiwu,kw
睽闲	kuixian,kx
睽携	kuixie,kx
睽仰	kuiyang,ky
睽疑	kuiyi,ky
睽异	kuiyi,ky
睽阻	kuizu,kz
