绍承	shaocheng,sc
绍复	shaofu,sf
绍继	shaoji,sj
绍介	shaojie,sj
绍酒	shaojiu,sj
绍剧	shaoju,sj
绍缭	shaoliao,sl
绍隆	shaolong,sl
绍昧	shaomei,sm
绍莫吉州	shaomojizhou,smjz
绍世	shaoshi,ss
绍述	shaoshu,ss
绍统	shaotong,st
绍熙	shaoxi,sx
绍袭	shaoxi,sx
绍兴	shaoxing,sx
绍兴地区	shaoxingdiqu,sxdq
绍兴和议	shaoxingheyi,sxhy
绍兴酒	shaoxingjiu,sxj
绍兴师爷	shaoxingshiye,sxsy
绍兴市	shaoxingshi,sxs
绍兴戏	shaoxingxi,sxx
绍续	shaoxu,sx
绍衣	shaoyi,sy
绍祚	shaozuo,sz
