哺糒	bubei,bb
哺啜	buchuo,bc
哺歠	buchuo,bc
哺待	budai,bd
哺坊	bufang,bf
哺鸡	buji,bj
哺鞠	buju,bj
哺馈	bukui,bk
哺乐	bule,bl
哺禄	bulu,bl
哺露	bulu,bl
哺糜	bumi,bm
哺麋	bumi,bm
哺母乳	bumuru,bmr
哺乳	buru,br
哺乳动物	burudongwu,brdw
哺乳纲	burugang,brg
哺乳假	burujia,brj
哺乳类	burulei,brl
哺乳类动物	buruleidongwu,brldw
哺乳期	buruqi,brq
哺时	bushi,bs
哺食	bushi,bs
哺饲	busi,bs
哺饷	buxiang,bx
哺养	buyang,by
哺育	buyu,by
哺糟	buzao,bz
哺糟啜漓	buzaochuoli,bzcl
哺糟啜醨	buzaochuoli,bzcl
哺糟歠漓	buzaochuoli,bzcl
哺糟歠醨	buzaochuoli,bzcl
哺醊	buzhui,bz
哺餟	buzhui,bz
哺子	buzi,bz
