蹶拔	jueba,jb
蹶躄	juebi,jb
蹶踣	juebo,jb
蹶船	juechuan,jc
蹶蹙	juecu,jc
蹶倒	juedao,jd
蹶跌	juedie,jd
蹶动	juedong,jd
蹶机	jueji,jj
蹶角	juejiao,jj
蹶蹶	jue,j
蹶劣	juelie,jl
蹶弩	juenu,jn
蹶衂	juenu,jn
蹶仆	juepu,jp
蹶蛩	jueqiong,jq
蹶趋	juequ,jq
蹶然	jueran,jr
蹶撒	juesa,js
蹶失	jueshi,js
蹶死	juesi,js
蹶蹄	jueti,jt
蹶蹏	juedi,jd
蹶痿	juewei,jw
蹶泄	juexie,jx
蹶兴	juexing,jx
蹶穴	juexue,jx
蹶阴	jueyin,jy
蹶跃	jueyue,jy
蹶张	juezhang,jz
蹶张士	juezhangshi,jzs
蹶踬	juezhi,jz
蹶子	juezi,jz
