鳖拗	bieniu,bn
鳖菜	biecai,bc
鳖懆	biecao,bc
鳖封	biefeng,bf
鳖伏	biefu,bf
鳖盖车	biegaiche,bgc
鳖盖子	biegaizi,bgz
鳖咳	biehai,bh
鳖化	biehua,bh
鳖臛	biehuo,bh
鳖甲	biejia,bj
鳖甲车	biejiache,bjc
鳖欬	biekai,bk
鳖壳	bieke,bk
鳖壳扇	biekeshan,bks
鳖灵	bieling,bl
鳖泠	bieling,bl
鳖令	bieling,bl
鳖闷	biemen,bm
鳖臑	bienao,bn
鳖鸟	bieniao,bn
鳖裙	biequn,bq
鳖肉	bierou,br
鳖石	bieshi,bs
鳖索	biesuo,bs
鳖行	biexing,bx
鳖岩	bieyan,by
鳖饮	bieyin,by
鳖鱼	bieyu,by
鳖燥	biezao,bz
鳖爪	biezhao,bz
鳖珠	biezhu,bz
