擎榜	qingbang,qb
擎戴	qingdai,qd
擎盖	qinggai,qg
擎跽	qingji,qj
擎跽曲拳	qingjiququan,qjqq
擎架	qingjia,qj
擎举	qingju,qj
擎露	qinglu,ql
擎奇	qingqi,qq
擎擎	qing,q
擎拳	qingquan,qq
擎拳撑脚	qingquanchengjiao,qqcj
擎拳合掌	qingquanhezhang,qqhz
擎受	qingshou,qs
擎天	qingtian,qt
擎天架海	qingtianjiahai,qtjh
擎天手	qingtianshou,qts
擎天之柱	qingtianzhizhu,qtzz
擎天柱	qingtianzhu,qtz
擎托	qingtuo,qt
