苯胺	benan,ba
苯丙氨酸	benbingansuan,bbas
苯丙胺	benbingan,bba
苯丙酮尿症	benbingtongniaozheng,bbtnz
苯并噻吩	benbingsaifen,bbsf
苯二氮䓬	benerdanzhuo,bedz
苯酚	benfen,bf
苯环	benhuan,bh
苯环利定	benhuanliding,bhld
苯基	benji,bj
苯甲基	benjiaji,bjj
苯甲醛	benjiaquan,bjq
苯甲酸	benjiasuan,bjs
苯甲酸钠	benjiasuanna,bjsn
苯甲酰氯	benjiaxianlu,bjxl
苯那辛	bennaxin,bnx
苯酮尿症	bentongniaozheng,btnz
苯氧基	benyangji,byj
苯乙烯	benyixi,byx
