箕畚	jiben,jb
箕毕	jibi,jb
箕伯	jibo,jb
箕卜	jibu,jb
箕巢	jichao,jc
箕畴	jichou,jc
箕斗	jidou,jd
箕风	jifeng,jf
箕风毕雨	jifengbiyu,jfby
箕服	jifu,jf
箕箙	jifu,jf
箕赋	jifu,jf
箕姑	jigu,jg
箕皓	jihao,jh
箕会	jihui,jh
箕拘	jiju,jj
箕倨	jiju,jj
箕踞	jiju,jj
箕敛	jilian,jl
箕瓢	jipiao,jp
箕濮情	jipuqing,jpq
箕裘	jiqiu,jq
箕裘相继	jiqiuxiang,jqx
箕棬	jiquan,jq
箕扫	jisao,js
箕山挂瓢	jishanguapiao,jsgp
箕山之操	jishanzhicao,jszc
箕山之风	jishanzhifeng,jszf
箕山之节	jishanzhijie,jszj
箕山之志	jishanzhi,jsz
箕舌	jishe,js
箕巫	jiwu,jw
箕仙	jixian,jx
箕业	jiye,jy
箕引裘随	jiyinqiusui,jyqs
箕颍	jiying,jy
箕张	jizhang,jz
箕踵	jizhong,jz
箕帚	jizhou,jz
箕帚妇	jizhoufu,jzf
箕帚妾	jizhouqie,jzq
箕帚之欢	jizhouzhihuan,jzzh
箕帚之使	jizhouzhishi,jzzs
箕箒	jizhou,jz
箕箒妇	jizhoufu,jzf
箕箒女	jizhounu,jzn
箕箒妾	jizhouqie,jzq
箕箒之欢	jizhouzhihuan,jzzh
箕箒之使	jizhouzhishi,jzzs
箕子	jizi,jz
箕坐	jizuo,jz
