眠蚕	miancan,mc
眠床	mianchuang,mc
眠倒	miandao,md
眠花藉柳	mianhuajieliu,mhjl
眠花宿柳	mianhuasuliu,mhsl
眠花卧柳	mianhuawoliu,mhwl
眠花醉柳	mianhuazuiliu,mhzl
眠觉	mianjue,mj
眠梦	mianmeng,mm
眠牛	mianniu,mn
眠起	mianqi,mq
眠芊	mianqian,mq
眠食	mianshi,ms
眠霜卧雪	mianshuangwoxue,mswx
眠睡	mianshui,ms
眠思梦想	miansimengxiang,msmx
眠宿	miansu,ms
眠娗	mianting,mt
眠桅	mianwei,mw
眠卧	mianwo,mw
眠息	mianxi,mx
眠眩	mianxuan,mx
眠羊	mianyang,my
眠药	mianyao,my
眠音	mianyin,my
眠舆	mianyu,my
眠轝	mianyu,my
眠云	mianyun,my
眠云卧石	mianyunwoshi,myws
