聘币	pinbi,pb
聘调	pindiao,pd
聘定	pinding,pd
聘弓	pingong,pg
聘贡	pingong,pg
聘好	pinhao,ph
聘嫁	pinjia,pj
聘接	pinjie,pj
聘金	pinjin,pj
聘举	pinju,pj
聘君	pinjun,pj
聘礼	pinli,pl
聘命	pinming,pm
聘纳	pinna,pn
聘妻	pinqi,pq
聘期	pinqi,pq
聘请	pinqing,pq
聘求	pinqiu,pq
聘娶婚	pinquhun,pqh
聘任	pinren,pr
聘任制	pinrenzhi,prz
聘射	pinshe,ps
聘使	pinshi,ps
聘士	pinshi,ps
聘书	pinshu,ps
聘问	pinwen,pw
聘物	pinwu,pw
聘贤	pinxian,px
聘享	pinxiang,px
聘选	pinxuan,px
聘用	pinyong,py
聘用制	pinyongzhi,pyz
聘约	pinyue,py
聘召	pinzhao,pz
