栉比	zhibi,zb
栉比鳞差	zhibilincha,zblc
栉比鳞次	zhibilinci,zblc
栉比鳞臻	zhibilinzhen,zblz
栉齿	zhichi,zc
栉珥	zhier,ze
栉发	zhifa,zf
栉风沐雨	zhifengmuyu,zfmy
栉风酾雨	zhifengshiyu,zfsy
栉工	zhigong,zg
栉垢爬痒	zhigoupayang,zgpy
栉冠	zhiguan,zg
栉笄	zhiji,zj
栉孔扇贝	zhikongshanbei,zksb
栉纚	zhili,zl
栉理	zhili,zl
栉掠	zhilue,zl
栉密	zhimi,zm
栉沐	zhimu,zm
栉沐风雨	zhimufengyu,zmfy
栉佩	zhipei,zp
栉然	zhiran,zr
栉梳	zhishu,zs
栉束	zhishu,zs
栉霜沐露	zhishuangmulu,zsml
栉水母	jieshuimu,jsm
栉剔	zhiti,zt
栉薙	zhiti,zt
栉縰	zhixi,zx
栉栉	zhi,z
栉濯	zhizhuo,zz
