竖豹尾	shubaowei,sbw
竖笔	shubi,sb
竖臣	shuchen,sc
竖蛋	shudan,sd
竖刀	shudao,sd
竖笛	shudi,sd
竖篴	shudi,sd
竖刁	shudiao,sd
竖貂	shudiao,sd
竖儿	shuer,se
竖夫	shufu,sf
竖拂	shufu,sf
竖沟	shugou,sg
竖钩	shugou,sg
竖管	shuguan,sg
竖柜	shugui,sg
竖亥	shuhai,sh
竖褐	shuhe,sh
竖宦	shuhuan,sh
竖井	shujing,sj
竖箜篌	shukonghou,skh
竖立	shuli,sl
竖笠	shuli,sl
竖鳞	shulin,sl
竖毛	shumao,sm
竖牛	shuniu,sn
竖旗杆	shuqigan,sqg
竖起	shuqi,sq
竖起大拇指	shuqidamuzhi,sqdmz
竖起耳朵	shuqierduo,sqed
竖起脊梁	shuqijiliang,sqjl
竖琴	shuqin,sq
竖蜻蜓	shuqingting,sqt
竖人	shuren,sr
竖儒	shuru,sr
竖式	shushi,ss
竖提	shuti,st
竖弯钩	shuwangou,swg
竖窑	shuyao,sy
竖义	shuyi,sy
竖议	shuyi,sy
竖折	shuzhe,sz
竖着地	shuzhede,szd
竖直	shuzhi,sz
竖直地	shuzhide,szd
竖子	shuzi,sz
竖子成名	shuzichengming,szcm
