大阿	daa,da
大阿福	daafu,daf
大阿哥	daage,dag
大阿姨	daayi,day
大碍	daai,da
大安	daan,da
大安的列斯	daandiliesi,dadls
大安的列斯群岛	daandiliesiqundao,dadlsqd
大安区	daanqu,daq
大安市	daanshi,das
大安乡	daanxiang,dax
大案	daan,da
大八成	dabacheng,dbc
大八件	dabajian,dbj
大巴	daba,db
大把	daba,db
大坝	daba,db
大白	dabai,db
大白菜	dabaicai,dbc
大白话	dabaihua,dbh
大白鹭	dabailu,dbl
大白鲨	dabaisha,dbs
大白鼠	dabaishu,dbs
大白天	dabaitian,dbt
大白熊犬	dabaixiongquan,dbxq
大白羽	dabaiyu,dby
大败	dabai,db
大败亏轮	dabaikuilun,dbkl
大败亏输	dabaikuishu,dbks
大拜	dabai,db
大拜门	dabaimen,dbm
大班	daban,db
大般涅盘经	dabanniepanjing,dbnpj
大斑鹡鸰	dabanjiling,dbjl
大斑啄木鸟	dabanzhuomuniao,dbzmn
大阪	daban,db
大阪府	dabanfu,dbf
大坂	daban,db
大板	daban,db
大板车	dabanche,dbc
大半	daban,db
大半地	dabande,dbd
大半拉	dabanla,dbl
大半天	dabantian,dbt
大半夜	dabanye,dby
大邦	dabang,db
大帮	dabang,db
大棒	dabang,db
大棒政策	dabangzhengce,dbzc
大包	dabao,db
大包大揽	dabaolan,dbl
大包单	dabaodan,dbd
大包干	dabaogan,dbg
大包干儿	dabaoganer,dbge
大宝	dabao,db
大饱口福	dabaokoufu,dbkf
大饱眼福	dabaoyanfu,dbyf
大保长	dabaochang,dbc
大鸨	dabao,db
大堡礁	dapujiao,dpj
大寳	dabao,db
大寳龟	dabaogui,dbg
大寳局	dabaoju,dbj
大报	dabao,db
大爆炸	dabaozha,dbz
大杯	dabei,db
大悲	dabei,db
大悲咒	dabeizhou,dbz
大北	dabei,db
大北胜	dabeisheng,dbs
大贝	dabei,db
大备	dabei,db
大奔	daben,db
大本	daben,db
大本大宗	dabenzong,dbz
大本涅盘经	dabenniepanjing,dbnpj
大本曲	dabenqu,dbq
大本头	dabentou,dbt
大本营	dabenying,dby
大本钟	dabenzhong,dbz
大笨象	dabenxiang,dbx
大鼻子地	dabizide,dbzd
大比	dabi,db
大比例尺地图	dabilichiditu,dblcdt
大比目鱼	dabimuyu,dbmy
大笔	dabi,db
大笔如椽	dabiruchuan,dbrc
大卞	dabian,db
大弁	dabian,db
大变	dabian,db
大便	dabian,db
大便干燥	dabianganzao,dbgz
大便秘结	dabianmijie,dbmj
大徧	dabian,db
大辨	dabian,db
大辩	dabian,db
大辩不言	dabianbuyan,dbby
大辩若讷	dabianruone,dbrn
大杓鹬	dashaoyu,dsy
大表	dabiao,db
大别	dabie,db
大别名	dabieming,dbm
大别山	dabieshan,dbs
大别山脉	dabieshanmai,dbsm
大宾	dabin,db
大滨鹬	dabinyu,dby
大冰期	dabingqi,dbq
大兵	dabing,db
大兵团	dabingtuan,dbt
大丙	dabing,db
大饼	dabing,db
大病	dabing,db
大波	dabo,db
大波斯菊	dabosiju,dbsj
大饽饽	dabo,db
大伯	dabo,db
大伯娘	daboniang,dbn
大伯爷	daboye,dby
大伯子	dabaizi,dbz
大脖子病	dabozibing,dbzb
大补帖	dabutie,dbt
大捕头	dabutou,dbt
大不恭	dabugong,dbg
大不敬	dabujing,dbj
大不了	dabuliao,dbl
大不里士	dabulishi,dbls
大不列颠	dabuliedian,dbld
大不列蹀	dabuliedie,dbld
大不韪	dabuwei,dbw
大不相同	dabuxiangtong,dbxt
大布	dabu,db
大步	dabu,db
大步地	dabude,dbd
大步流星	dabuliuxing,dblx
大埔	dabu,db
大埔县	dabuxian,dbx
大埔乡	dapuxiang,dpx
大部	dabu,db
大部地	dabude,dbd
大部分	dabufen,dbf
大部分地	dabufende,dbfd
大部头	dabutou,dbt
大部制	dabuzhi,dbz
大埠	dabu,db
大才	dacai,dc
大才榱盘	dacaicuipan,dccp
大才榱槃	dacaicuipan,dccp
大才盘盘	dacaipan,dcp
大才槃槃	dacaipan,dcp
大才小用	dacaixiaoyong,dcxy
大材	dacai,dc
大材小用	dacaixiaoyong,dcxy
大采	dacai,dc
大菜	dacai,dc
大参	dacan,dc
大餐	dacan,dc
大餐房	dacanfang,dcf
大蚕	dacan,dc
大仓	taicang,tc
大藏	dazang,dz
大藏经	dazangjing,dzj
大操	dacao,dc
大操大办	dacaoban,dcb
大漕	dacao,dc
大草鹛	dacaomei,dcm
大草莺	dacaoying,dcy
大草原	dacaoyuan,dcy
大策	dace,dc
大插屏	dachaping,dcp
大查科平原	dazhakepingyuan,dzkpy
大茶壶	dachahu,dch
大𥻗子	dachazi,dcz
大柴旦	dachaidan,dcd
大柴旦行政区	dachaidanxingzhengqu,dcdxzq
大柴旦行政委员会	dachaidanxingzhengweiyuanhui,dcdxzwyh
大柴旦镇	dachaidanzhen,dcdz
大铲鞋	dachanxie,dcx
大肠	dachang,dc
大肠杆菌	dachangganjun,dcgj
大尝	dachang,dc
大常	dachang,dc
大厂	dachang,dc
大厂回族自治县	dachanghuizuzizhixian,dchzzzx
大厂锡矿	dachangxikuang,dcxk
大厂县	dachangxian,dcx
大场	dachang,dc
大场鸫	dachangdong,dcd
大氅	dachang,dc
大钞	dachao,dc
大巢	dachao,dc
大朝	dachao,dc
大朝觐	dachaojin,dcj
大潮	dachao,dc
大吵大闹	dachaonao,dcn
大车	dache,dc
大车以载	dacheyizai,dcyz
大俥	dache,dc
大彻大悟	dachewu,dcw
大澈大悟	dachewu,dcw
大臣	dachen,dc
大辰	dachen,dc
大晨	dachen,dc
大成	dacheng,dc
大成殿	dachengdian,dcd
大成至圣先师	dachengzhishengxianshi,dczsxs
大城	dacheng,dc
大城市	dachengshi,dcs
大城县	dachengxian,dcx
大城乡	dachengxiang,dcx
大乘	dacheng,dc
大晟	dasheng,ds
大晟词	dashengci,dsc
大晟府	dashengfu,dsf
大程	dacheng,dc
大吃	dachi,dc
大吃八喝	dachibahe,dcbh
大吃大喝	dachihe,dch
大吃二喝	dachierhe,dceh
大吃特吃	dachite,dct
大吃一惊	dachiyijing,dcyj
大赤	dachi,dc
大冲	dachong,dc
大舂碓	dachongdui,dcd
大虫	dachong,dc
大虫不吃伏肉	dachongbuchifurou,dcbcfr
大宠	dachong,dc
大丑	dachou,dc
大出进	dachujin,dcj
大出其汗	dachuqihan,dcqh
大出丧	dachusang,dcs
大出手	dachushou,dcs
大出血	dachuxue,dcx
大初	dachu,dc
大处	dachu,dc
大处落墨	dachuluomo,dclm
大处着墨	dachuzhuomo,dczm
大处着眼	dachuzhuoyan,dczy
大畜	dachu,dc
大传	dachuan,dc
大喘气	dachuanqi,dcq
大疮	dachuang,dc
大床房	dachuangfang,dcf
大床间	dachuangjian,dcj
大创	dachuang,dc
大吹大打	dachui,dc
大吹大擂	dachuilei,dcl
大吹法螺	dachuifaluo,dcfl
大垂手	dachuishou,dcs
大锤	dachui,dc
大春	dachun,dc
大椿	dachun,dc
大醇	dachun,dc
大醇小疵	dachunxiaoci,dcxc
大慈大悲	dacibei,dcb
大慈恩寺	daciensi,dces
大次	daci,dc
大葱	dacong,dc
大从	dacong,dc
大凑	dacou,dc
大粗	dacu,dc
大蔟	dacu,dc
大村	dacun,dc
大村乡	dacunxiang,dcx
大剉碓	dacuodui,dcd
大锉碓	dacuodui,dcd
大错	dacuo,dc
大错特错	dacuote,dct
大达	da,d
大打出手	dachushou,dcs
大打弄	danong,dn
大大	da,d
大大地	dade,dd
大大地不同	dadebutong,ddbt
大大地露脸	dadeloulian,ddll
大大地提高	dadetigao,ddtg
大大地拖累了	dadetuoleile,ddtll
大大法法	dafa,df
大大方方	dafang,df
大大咧咧	dalie,dl
大大落落	daluo,dl
大大小小	daxiao,dx
大呆	dadai,dd
大带	dadai,dd
大袋鼠	dadaishu,dds
大戴	dadai,dd
大丹犬	dadanquan,ddq
大单于	dachanyu,dcy
大胆	dadan,dd
大胆包身	dadanbaoshen,ddbs
大胆地	dadande,ddd
大胆地表白	dadandebiaobai,dddbb
大胆地表示	dadandebiaoshi,dddbs
大胆地尝试	dadandechangshi,dddcs
大胆地闯	dadandechuang,dddc
大胆地干	dadandegan,dddg
大胆地讲	dadandejiang,dddj
大胆地去	dadandequ,dddq
大胆地说	dadandeshuo,ddds
大胆地思考	dadandesikao,dddsk
大胆地吻	dadandewen,dddw
大啖一番	dadanyifan,ddyf
大当	dadang,dd
大珰	dadang,dd
大刀	dadao,dd
大刀会	dadaohui,ddh
大刀阔斧	dadaokuofu,ddkf
大刀头	dadaotou,ddt
大导师	dadaoshi,dds
大盗	dadao,dd
大道	dadao,dd
大道具	dadaoju,ddj
大道理	dadaoli,ddl
大道曲	dadaoqu,ddq
大纛	dadao,dd
大得人心	daderenxin,ddrx
大德	dade,dd
大地	dadi,dd
大地测量	dadiceliang,ddcl
大地测量学	dadiceliangxue,ddclx
大地春回	dadichunhui,ddch
大地洞	dadidong,ddd
大地回春	dadihuichun,ddhc
大地水准面	dadishuizhunmian,ddszm
大地线	dadixian,ddx
大地艺术	dadiyishu,ddys
大地之歌	dadizhige,ddzg
大地主	dadizhu,ddz
大灯	dadeng,dd
大登	dadeng,dd
大氐	dadi,dd
大堤	dadi,dd
大堤曲	dadiqu,ddq
大敌	dadi,dd
大敌当前	dadidangqian,dddq
大厎	dadi,dd
大底	dadi,dd
大抵	dadi,dd
大弟	dadi,dd
大帝	dadi,dd
大颠	dadian,dd
大典	dadian,dd
大点	dadian,dd
大电	dadian,dd
大佃	dadian,dd
大甸	dadian,dd
大殿	dadian,dd
大貂	dadiao,dd
大调	dadiao,dd
大跌	dadie,dd
大跌市	dadieshi,dds
大跌眼镜	dadieyanjing,ddyj
大耋	dadie,dd
大鲽鱼	dadieyu,ddy
大东	dadong,dd
大东区	dadongqu,ddq
大东亚共荣圈	dadongyagongrongquan,ddygrq
大冬	dadong,dd
大动肝火	dadongganhuo,ddgh
大动干戈	dadonggange,ddgg
大动公惯	dadonggongguan,ddgg
大动脉	dadongmai,ddm
大动作	dadongzuo,ddz
大都	dadu,dd
大都会	daduhui,ddh
大都市	dadushi,dds
大都市地区	dadushidiqu,ddsdq
大都宪	daduxian,ddx
大斗	dadou,dd
大豆	dadou,dd
大毒日头	daduritou,ddrt
大独裁者	daducaizhe,ddcz
大杜鹃	dadujuan,ddj
大肚	dadu,dd
大肚汉	daduhan,ddh
大肚乡	daduxiang,ddx
大肚子	daduzi,ddz
大肚子经济	daduzijingji,ddzjj
大度	dadu,dd
大度包容	dadubaorong,ddbr
大度地说	dadudeshuo,ddds
大渡河	daduhe,ddh
大渡口	dadukou,ddk
大渡口区	dadukouqu,ddkq
大端	daduan,dd
大短趾百灵	daduanzhibailing,ddzbl
大段	daduan,dd
大队	dadui,dd
大对	dadui,dd
大对卢	daduilu,ddl
大憝	dadui,dd
大多	daduo,dd
大多数	daduoshu,dds
大舵手	daduoshou,dds
大峨	dae,de
大恶	dae,de
大鳄	dae,de
大恩不言谢	daenbuyanxie,debyx
大恩大德	daende,ded
大儿	daer,de
大而化之	daerhuazhi,dehz
大而全	daerquan,deq
大而无当	daerwudang,dewd
大耳儿	daer,de
大耳窿	daerlong,del
大耳翁	daerweng,dew
大二	daer,de
大发	dafa,df
大发慈悲	dafacibei,dfcb
大发雷霆	dafaleiting,dflt
大发谬论	dafamiulun,dfml
大发议论	dafayilun,dfyl
大法	dafa,df
大法官	dafaguan,dfg
大法小廉	dafaxiaolian,dfxl
大藩	dafan,df
大凡	dafan,df
大凡粗知	dafancuzhi,dfcz
大饭店	dafandian,dfd
大范围	dafanwei,dfw
大梵天	dafantian,dft
大方	dafang,df
大方地	dafangde,dfd
大方地讲	dafangdejiang,dfdj
大方地拿出	dafangdenachu,dfdnc
大方广佛华严经	dafangguangfohuayanjing,dfgfhyj
大方县	dafangxian,dfx
大方向	dafangxiang,dfx
大方之家	dafangzhijia,dfzj
大枋	dafang,df
大防	dafang,df
大房	dafang,df
大房山	dafangshan,dfs
大舫	dafang,df
大放悲声	dafangbeisheng,dfbs
大放光明	dafangguangming,dfgm
大放厥词	dafangjueci,dfjc
大放厥辞	dafangjueci,dfjc
大放异彩	dafangyicai,dfyc
大妃	dafei,df
大肥喏	dafeire,dfr
大费	dafei,df
大费周章	dafeizhouzhang,dfzz
大分	dafen,df
大分界岭	dafenjieling,dfjl
大分县	dafenxian,dfx
大分子	dafenzi,dfz
大汾	dafen,df
大粪	dafen,df
大丰	dafeng,df
大丰市	dafengshi,dfs
大风	dafeng,df
大风词	dafengci,dfc
大风大浪	dafenglang,dfl
大风歌	dafengge,dfg
大风篇	dafengpian,dfp
大风曲	dafengqu,dfq
大风诗	dafengshi,dfs
大风子	dafengzi,dfz
大封	dafeng,df
大冯	dafeng,df
大冯君	dafengjun,dfj
大冯小冯	dafengxiao,dfx
大凤	dafeng,df
大凤头燕鸥	dafengtouyanou,dftyo
大夫	dafu,df
大夫松	daifusong,dfs
大夫枝	daifuzhi,dfz
大佛阁	dafoge,dfg
大拂	dafu,df
大服	dafu,df
大茀	dabo,db
大幅	dafu,df
大幅度	dafudu,dfd
大幅度地	dafudude,dfdd
大幅度地超过	dafududechaoguo,dfddcg
大幅增长	dafuzengzhang,dfzz
大福	dafu,df
大府	dafu,df
大斧劈	dafupi,dfp
大釜	dafu,df
大辅	dafu,df
大父	dafu,df
大妇	dafu,df
大副	dafu,df
大傅	dafu,df
大富大贵	dafugui,dfg
大富翁	dafuweng,dfw
大赋	dafu,df
大腹便便	dafupian,dfp
大腹贾	dafujia,dfj
大腹皮	dafupi,dfp
大盖帽	dagaimao,dgm
大概	dagai,dg
大概地	dagaide,dgd
大概地说	dagaideshuo,dgds
大概齐	dagaiqi,dgq
大概其	dagaiqi,dgq
大干	dagan,dg
大刚	dagang,dg
大纲	dagang,dg
大钢琴	dagangqin,dgq
大港	dagang,dg
大港区	dagangqu,dgq
大高	dagao,dg
大诰	dagao,dg
大戈壁	dagebi,dgb
大哥	dage,dg
大哥大	dage,dg
大割	dage,dg
大革命	dageming,dgm
大个儿	dageer,dge
大个子	dagezi,dgz
大根脚	dagenjiao,dgj
大根兰	dagenlan,dgl
大羹	dageng,dg
大羹玄酒	dagengxuanjiu,dgxj
大工	dagong,dg
大工告成	dagonggaocheng,dggc
大弓	dagong,dg
大公	dagong,dg
大公报	dagongbao,dgb
大公国	dagongguo,dgg
大公国际	dagongguoji,dggj
大公司	dagongsi,dgs
大公无私	dagongwusi,dgws
大公祖	dagongzu,dgz
大功	dagong,dg
大功毕成	dagongbicheng,dgbc
大功告成	dagonggaocheng,dggc
大宫	dagong,dg
大恭	dagong,dg
大拱	dagong,dg
大共	dagong,dg
大共名	dagongming,dgm
大估	dagu,dg
大估摸	dagumo,dgm
大姑	dagu,dg
大姑娘	daguniang,dgn
大姑子	daguzi,dgz
大孤山	dagushan,dgs
大沽口炮台	dagukoupaotai,dgkpt
大沽炮台	dagupaotai,dgpt
大沽之战	daguzhizhan,dgzz
大箛	dagu,dg
大古	dagu,dg
大古来	dagulai,dgl
大古里	daguli,dgl
大谷	dagu,dg
大股东	dagudong,dgd
大骨节病	dagujiebing,dgjb
大鼓	dagu,dg
大鼓书	dagushu,dgs
大故	dagu,dg
大褂	dagua,dg
大拐	daguai,dg
大关	daguan,dg
大关节目	daguanjiemu,dgjm
大关县	daguanxian,dgx
大观	daguan,dg
大观楼	daguanlou,dgl
大观区	daguanqu,dgq
大观帖	daguantie,dgt
大观舞	daguanwu,dgw
大观园	daguanyuan,dgy
大官	daguan,dg
大官葱	daguancong,dgc
大官人	daguanren,dgr
大冠	daguan,dg
大冠子夏	daguanzixia,dgzx
大棺	daguan,dg
大馆	daguan,dg
大管	daguan,dg
大管家	daguanjia,dgj
大归	dagui,dg
大圭	dagui,dg
大龟	dagui,dg
大规模	daguimo,dgm
大规模地	daguimode,dgmd
大规模杀伤性武器	daguimoshashangxingwuqi,dgmssxwq
大闺女	daguinu,dgn
大騩	dagui,dg
大锅	daguo,dg
大锅菜	daguocai,dgc
大锅饭	daguofan,dgf
大国	daguo,dg
大国家党	daguojiadang,dgjd
大国沙文主义	daguoshawenzhuyi,dgswzy
大国主义	daguozhuyi,dgzy
大过	daguo,dg
大过年	daguonian,dgn
大还	dahai,dh
大还丹	dahuandan,dhd
大海	dahai,dh
大海沟	dahaigou,dhg
大海捞针	dahailaozhen,dhlz
大含细入	dahanxiru,dhxr
大寒	dahan,dh
大寒索裘	dahansuoqiu,dhsq
大韩帝国	dahandiguo,dhdg
大韩航空	dahanhangkong,dhhk
大韩民国	dahanminguo,dhmg
大喊	dahan,dh
大喊大叫	dahanjiao,dhj
大汉	dahan,dh
大汉族主义	dahanzuzhuyi,dhzzy
大汗	dahan,dh
大汗淋漓	dahanlinli,dhll
