臂膀	bibang,bb
臂鞴	bibei,bb
臂膊	bibo,bb
臂膊上立得人	biboshanglideren,bbsldr
臂缠	bichan,bc
臂钏	bichuan,bc
臂缚	bifu,bf
臂搁	bige,bg
臂阁	bige,bg
臂鞲	bigou,bg
臂环	bihuan,bh
臂甲	bijia,bj
臂胛	bijia,bj
臂肩	bijian,bj
臂力	bili,bl
臂臑	binao,bn
臂纱	bisha,bs
臂弯	biwan,bw
臂腕	biwan,bw
臂鹰	biying,by
臂有四肘	biyousizhou,bysz
臂章	bizhang,bz
臂长	bichang,bc
臂障	bizhang,bz
臂指	bizhi,bz
臂肘	bizhou,bz
臂助	bizhu,bz
