笋鞭	sunbian,sb
笋城	suncheng,sc
笋蒂	sundi,sd
笋儿拳	sunerquan,seq
笋笴	sungan,sg
笋干	sungan,sg
笋干儿	sunganer,sge
笋瓜	sungua,sg
笋鸡	sunji,sj
笋屐	sunji,sj
笋尖	sunjian,sj
笋虡	sunju,sj
笋簴	sunju,sj
笋蕨	sunjue,sj
笋枯	sunku,sk
笋里	sunli,sl
笋箩	sunluo,sl
笋皮	sunpi,sp
笋脯	sunfu,sf
笋蒲	sunpu,sp
笋石	sunshi,ss
笋条	suntiao,st
笋头	suntou,st
笋箨	suntuo,st
笋席	sunxi,sx
笋鞋	sunxie,sx
笋业	sunye,sy
笋衣	sunyi,sy
笋舆	sunyu,sy
