曝背	pubei,pb
曝背食芹	pubeishiqin,pbsq
曝场	puchang,pc
曝昳	puyi,py
曝骨履肠	puguluchang,pglc
曝光	baoguang,bg
曝光表	baoguangbiao,bgb
曝裈	pukun,pk
曝露	pulu,pl
曝芹	puqin,pq
曝腮	pusai,ps
曝鳃	pusai,ps
曝晒	pushai,ps
曝射	pushe,ps
曝尸	pushi,ps
曝书	pushu,ps
曝书见竹	pushujianzhu,psjz
曝巫	puwu,pw
曝献	puxian,px
曝扬	puyang,py
曝阳	puyang,py
曝衣	puyi,py
曝衣楼	puyilou,pyl
