彪被	biaobei,bb
彪彪	biao,b
彪昺	biaobing,bb
彪炳	biaobing,bb
彪炳千古	biaobingqiangu,bbqg
彪发	biaofa,bf
彪个子	biaogezi,bgz
彪悍	biaohan,bh
彪赫	biaohe,bh
彪虎	biaohu,bh
彪焕	biaohuan,bh
彪口	biaokou,bk
彪列	biaolie,bl
彪马	biaoma,bm
彪蒙	biaomeng,bm
彪躯	biaoqu,bq
彪蔚	biaowei,bw
彪文	biaowen,bw
彪形	biaoxing,bx
彪形大汉	biaoxingdahan,bxdh
彪休	biaoxiu,bx
彪耀	biaoyao,by
彪章	biaozhang,bz
彪壮	biaozhuang,bz
彪子	biaozi,bz
