箫吹	xiaochui,xc
箫笛	xiaodi,xd
箫干	xiaogan,xg
箫鼓	xiaogu,xg
箫管	xiaoguan,xg
箫管竹	xiaoguanzhu,xgz
箫笳	xiaojia,xj
箫局	xiaoju,xj
箫孔	xiaokong,xk
箫籁	xiaolai,xl
箫侣	xiaolu,xl
箫铙歌	xiaonaoge,xng
箫谱	xiaopu,xp
箫勺	xiaoshao,xs
箫韶	xiaoshao,xs
箫韶九成	xiaoshaojiucheng,xsjc
箫史	xiaoshi,xs
箫台	xiaotai,xt
箫心剑态	xiaoxinjiantai,xxjt
箫吟	xiaoyin,xy
