厢白旗	xiangbaiqi,xbq
厢兵	xiangbing,xb
厢村	xiangcun,xc
厢房	xiangfang,xf
厢公	xianggong,xg
厢官	xiangguan,xg
厢红旗	xianghongqi,xhq
厢黄旗	xianghuangqi,xhq
厢军	xiangjun,xj
厢蓝旗	xianglanqi,xlq
厢吏	xiangli,xl
厢嵌	xiangqian,xq
厢式车	xiangshiche,xsc
厢型车	xiangxingche,xxc
厢悬	xiangxuan,xx
厢巡	xiangxun,xx
厢长	xiangchang,xc
厢子	xiangzi,xz
