碾场	nianchang,nc
碾船	nianchuan,nc
碾槌	nianchui,nc
碾坊	nianfang,nf
碾房	nianfang,nf
碾磙子	niangunzi,ngz
碾过	nianguo,ng
碾米机	nianmiji,nmj
碾磨	nianmo,nm
碾盘	nianpan,np
碾碎	niansui,ns
碾台	niantai,nt
碾砣	niantuo,nt
碾磑	nianwei,nw
碾硙	nianwei,nw
碾窝	nianwo,nw
碾械	nianxie,nx
碾压	nianya,ny
碾轧	nianya,ny
碾玉匠	nianyujiang,nyj
碾玉作	nianyuzuo,nyz
碾子	nianzi,nz
碾子山	nianzishan,nzs
碾子山区	nianzishanqu,nzsq
