犷骜	guangao,ga
犷暴	guangbao,gb
犷敌	guangdi,gd
犷恶	guange,ge
犷犷	guang,g
犷猤	guanggui,gg
犷悍	guanghan,gh
犷狠	guanghen,gh
犷横	guangheng,gh
犷健	guangjian,gj
犷厉	guangli,gl
犷戾	guangli,gl
犷烈	guanglie,gl
犷卤	guanglu,gl
犷狉	guangpi,gp
犷锐	guangrui,gr
犷盛	guangsheng,gs
犷兽	guangshou,gs
犷俗	guangsu,gs
犷顽	guangwan,gw
犷野	guangye,gy
犷勇	guangyong,gy
犷语	guangyu,gy
犷族	guangzu,gz
