畿邦	jibang,jb
畿兵	jibing,jb
畿伯	jibo,jb
畿丞	jicheng,jc
畿赤	jichi,jc
畿甸	jidian,jd
畿封	jifeng,jf
畿服	jifu,jf
畿辅	jifu,jf
畿皋	jigao,jg
畿官	jiguan,jg
畿寰	jihuan,jh
畿疆	jijiang,jj
畿解	jijie,jj
畿郡	jijun,jj
畿劳	jilao,jl
畿略	jilue,jl
畿内	jinei,jn
畿辇	jinian,jn
畿畎	jiquan,jq
畿田	jitian,jt
畿尉	jiwei,jw
畿夏	jixia,jx
畿县	jixian,jx
畿限	jixian,jx
畿要	jiyao,jy
畿邑	jiyi,jy
畿驿	jiyi,jy
畿岳	jiyue,jy
