裒剥	poubao,pb
裒畜	pouchu,pc
裒次	pouci,pc
裒撮	poucuo,pc
裒沓	pouta,pt
裒对	poudui,pd
裒多益寡	pouduoyigua,pdyg
裒多增寡	pouduozenggua,pdzg
裒掇	pouduo,pd
裒割	pouge,pg
裒合	pouhe,ph
裒汇	pouhui,ph
裒会	pouhui,ph
裒积	pouji,pj
裒集	pouji,pj
裒辑	pouji,pj
裒聚	pouju,pj
裒克	pouke,pk
裒刻	pouke,pk
裒览	poulan,pl
裒类	poulei,pl
裒敛	poulian,pl
裒敛无厌	poulianwuyan,plwy
裒録	poulu,pl
裒率	poulu,pl
裒裒	pou,p
裒取	pouqu,pq
裒索	pousuo,ps
裒啸	pouxiao,px
裒削	pouxue,px
裒艺	pouyi,py
裒益	pouyi,py
裒责	pouze,pz
裒整	pouzheng,pz
裒缀	pouzhui,pz
