描笔	miaobi,mb
描补	miaobu,mb
描黛	miaodai,md
描红	miaohong,mh
描花	miaohua,mh
描画	miaohua,mh
描绘	miaohui,mh
描金	miaojin,mj
描龙刺凤	miaolongcifeng,mlcf
描龙绣凤	miaolongxiufeng,mlxf
描鸾刺凤	miaoluancifeng,mlcf
描眉	miaomei,mm
描摸	miaomo,mm
描摹	miaomo,mm
描模	miaomo,mm
描神画鬼	miaoshenhuagui,mshg
描诗	miaoshi,ms
描手	miaoshou,ms
描述	miaoshu,ms
描头画角	miaotouhuajiao,mthj
描图	miaotu,mt
描写	miaoxie,mx
描写地	miaoxiede,mxd
描写画角	miaoxiehuajiao,mxhj
描绣	miaoxiu,mx
描叙	miaoxu,mx
描着模儿	miaozhemoer,mzme
描朱	miaozhu,mz
描状	miaozhuang,mz
描字	miaozi,mz
