蹄膀	tibang,tb
蹄髈	tipang,tp
蹄踣	tibo,tb
蹄涔	ticen,tc
蹄道	tidao,td
蹄毂	tigu,tg
蹄迒	tihang,th
蹄间三寻	tijiansanxun,tjsx
蹄角	tijiao,tj
蹄噭	tijiao,tj
蹄筋	tijin,tj
蹄踁	tijing,tj
蹄趹	tigui,tg
蹄蹶	tijue,tj
蹄轮	tilun,tl
蹄啮	tinie,tn
蹄囓	tinie,tn
蹄羌	tiqiang,tq
蹄躈	tiqiao,tq
蹄筌	tiquan,tq
蹄声	tisheng,ts
蹄石	tishi,ts
蹄氏观	tishiguan,tsg
蹄书	tishu,ts
蹄踏	tita,tt
蹄铁	titie,tt
蹄腿	titui,tt
蹄洼	tiwa,tw
蹄尾	tiwei,tw
蹄闲三寻	tixiansanxun,txsx
蹄閒三寻	tijiansanxun,tjsx
蹄印	tiyin,ty
蹄蚤	tizao,tz
蹄踵	tizhong,tz
蹄子	tizi,tz
蹄足	tizu,tz
