靓白	liangbai,lb
靓服	liangfu,lf
靓观	liangguan,lg
靓号	lianghao,lh
靓丽	liangli,ll
靓妹	liangmei,lm
靓媚	liangmei,lm
靓女	liangnu,ln
靓深	liangshen,ls
靓审	liangshen,ls
靓饰	jingshi,js
靓姝	liangshu,ls
靓闲	liangxian,lx
靓袨	liangxuan,lx
靓雅	liangya,ly
靓严	liangyan,ly
靓艳	liangyan,ly
靓耀	liangyao,ly
靓衣	jingyi,jy
靓质	liangzhi,lz
靓妆	jingzhuang,jz
靓庄	jingzhuang,jz
靓装	liangzhuang,lz
靓糚	liangzhuang,lz
靓仔	liangzai,lz
