腌菜	yancai,yc
腌藏	yancang,yc
腌陈	yanchen,yc
腌对付	yanduifu,ydf
腌黄瓜	yanhuanggua,yhg
腌货	yanhuo,yh
腌苦	yanku,yk
腌剌答	yanlada,yld
腌腊	yanla,yl
腌里巴臜	yanlibaza,ylbz
腌泡	yanpao,yp
腌盆儿	yanpener,ype
腌躯老	yanqulao,yql
腌肉	yanrou,yr
腌势	yanshi,ys
腌咸	yanxian,yx
腌臜	aza,az
腌臜混沌	azahundun,azhd
腌臢	aza,az
腌脏	yanzang,yz
腌造	yanzao,yz
腌汁	yanzhi,yz
腌制	yanzhi,yz
腌猪肉	yanzhurou,yzr
腌渍	yanzi,yz
腌胙	yanzuo,yz
