辑安	jian,ja
辑本	jiben,jb
辑补	jibu,jb
辑褫	jichi,jc
辑定	jiding,jd
辑合	jihe,jh
辑和	jihe,jh
辑集	ji,j
辑辑	ji,j
辑屦	jiju,jj
辑刊	jikan,jk
辑刻	jike,jk
辑里丝	jilisi,jls
辑理	jili,jl
辑录	jilu,jl
辑録	jilu,jl
辑睦	jimu,jm
辑穆	jimu,jm
辑宁	jining,jn
辑洽	jiqia,jq
辑柔	jirou,jr
辑瑞	jirui,jr
辑矢	jishi,js
辑首	jishou,js
辑绥	jisui,js
辑熙	jixi,jx
辑校	jixiao,jx
辑谐	jixie,jx
辑要	jiyao,jy
辑佚	jiyi,jy
辑译	jiyi,jy
辑印	jiyin,jy
辑着	jizhe,jz
辑志协力	jizhixieli,jzxl
辑治	jizhi,jz
辑濯	jizhuo,jz
