慑北	shebei,sb
慑怖	shebu,sb
慑剉	shecuo,sc
慑锉	shecuo,sc
慑惮	shedan,sd
慑愕	shee,se
慑伏	shefu,sf
慑服	shefu,sf
慑骇	shehai,sh
慑悸	sheji,sj
慑惧	sheju,sj
慑栗	sheli,sl
慑气	sheqi,sq
慑怯	sheqie,sq
慑屈	shequ,sq
慑慑	she,s
慑慴	she,s
慑悚	shesong,ss
慑耸	shesong,ss
慑愯	shesong,ss
慑畏	shewei,sw
慑息	shexi,sx
慑于	sheyu,sy
慑詟	shezhe,sz
慑惴	shezhui,sz
