俏不厮瞒	qiaobusiman,qbsm
俏不厮欺	qiaobusiqi,qbsq
俏成俏败	qiaochengbai,qcb
俏醋	qiaocu,qc
俏簇	qiaocu,qc
俏泛	qiaofan,qf
俏货	qiaohuo,qh
俏洁	qiaojie,qj
俏俊	qiaojun,qj
俏丽	qiaoli,ql
俏俐	qiaoli,ql
俏脸	qiaolian,ql
俏美	qiaomei,qm
俏媚	qiaomei,qm
俏冥冥	qiaoming,qm
俏皮	qiaopi,qp
俏皮地	qiaopide,qpd
俏皮话	qiaopihua,qph
俏勤儿	qiaoqiner,qqe
俏生生	qiaosheng,qs
俏式	qiaoshi,qs
俏头	qiaotou,qt
俏眼	qiaoyan,qy
俏样子	qiaoyangzi,qyz
俏影	qiaoying,qy
俏语	qiaoyu,qy
俏冤家	qiaoyuanjia,qyj
俏倬	qiaozhuo,qz
