誉必待试	yubidaishi,ybds
誉不绝口	yubujuekou,ybjk
誉臣	yuchen,yc
誉称	yucheng,yc
誉处	yuchu,yc
誉儿癖	yuerpi,yep
誉毁	yuhui,yh
誉籍	yuji,yj
誉奬	yujiang,yj
誉满天下	yumantianxia,ymtx
誉髦	yumao,ym
誉美	yumei,ym
誉目	yumu,ym
誉墓	yumu,ym
誉说	yushuo,ys
誉叹	yutan,yt
誉望	yuwang,yw
誉为	yuwei,yw
誉闻	yuwen,yw
誉问	yuwen,yw
誉言	yuyan,yy
誉扬	yuyang,yy
誉谀	yu,y
誉誉	yu,y
