恃爱	shiai,sa
恃才傲物	shicaiaowu,scaw
恃才放旷	shicaifangkuang,scfk
恃才矜己	shicaijinji,scjj
恃宠	shichong,sc
恃功	shigong,sg
恃固	shigu,sg
恃怙	shihu,sh
恃赖	shilai,sl
恃明	shiming,sm
恃凭	shiping,sp
恃屺	shiqi,sq
恃气	shiqi,sq
恃强凌弱	shiqianglingruo,sqlr
恃强欺弱	shiqiangqiruo,sqqr
恃顽	shiwan,sw
恃息	shixi,sx
恃险	shixian,sx
恃性	shixing,sx
恃勇轻敌	shiyongqingdi,syqd
恃众	shizhong,sz
