肴菜	yaocai,yc
肴藏	yaocang,yc
肴饵	yaoer,ye
肴核	yaohe,yh
肴覈	yaohe,yh
肴溷	yaohun,yh
肴酒	yaojiu,yj
肴醴	yaoli,yl
肴粮	yaoliang,yl
肴乱	yaoluan,yl
肴臑	yaonao,yn
肴糅	yaorou,yr
肴膳	yaoshan,ys
肴蔬	yaoshu,ys
肴蔌	yaosu,ys
肴席	yaoxi,yx
肴修	yaoxiu,yx
肴羞	yaoxiu,yx
肴脩	yaoxiu,yx
肴醑	yaoxu,yx
肴醳	yaoyi,yy
肴烝	yaozheng,yz
肴馔	yaozhuan,yz
肴胾	yaozi,yz
肴葅	yaozu,yz
肴俎	yaozu,yz
