锄艾	chuai,ca
锄草	chucao,cc
锄除	chu,c
锄地	chudi,cd
锄杠	chugang,cg
锄功	chugong,cg
锄钩	chugou,cg
锄禾	chuhe,ch
锄荒	chuhuang,ch
锄击	chuji,cj
锄奸	chujian,cj
锄犁	chuli,cl
锄犂	chuli,cl
锄理	chuli,cl
锄耧	chulou,cl
锄苗	chumiao,cm
锄农业	chunongye,cny
锄耨	chunou,cn
锄掊	chupou,cp
锄强扶弱	chuqiangfuruo,cqfr
锄烧	chushao,cs
锄社	chushe,cs
锄食	chushi,cs
锄粟	chusu,cs
锄剃	chuti,ct
锄薙	chuti,ct
锄梃	chuting,ct
锄头	chutou,ct
锄头雨	chutouyu,cty
锄削	chuxue,cx
锄刈	chuyi,cy
锄櫌	chuyou,cy
锄耰	chuyou,cy
锄耘	chuyun,cy
锄治	chuzhi,cz
锄诛	chuzhu,cz
