膝脖盖	xibogai,xbg
膝步	xibu,xb
膝部	xibu,xb
膝地	xidi,xd
膝点心	xidianxin,xdx
膝盖	xigai,xg
膝盖骨	xigaigu,xgg
膝拐	xiguai,xg
膝关节	xiguanjie,xgj
膝腘	xiguo,xg
膝踝	xihuai,xh
膝进	xijin,xj
膝胫	xijing,xj
膝髁	xike,xk
膝裤	xiku,xk
膝襕	xilan,xl
膝挛	xiluan,xl
膝馒头	ximantou,xmt
膝前	xiqian,xq
膝上舞	xishangwu,xsw
膝上型	xishangxing,xsx
膝上型电脑	xishangxingdiannao,xsxdn
膝谈	xitan,xt
膝袒	xitan,xt
膝头	xitou,xt
膝外翻	xiwaifan,xwf
膝弯	xiwan,xw
膝席	xi,x
膝下	xixia,xx
膝行	xixing,xx
膝行而前	xixingerqian,xxeq
膝行匍伏	xixingpufu,xxpf
膝行蒲伏	xixingpufu,xxpf
膝行肘步	xixingzhoubu,xxzb
膝眼	xiyan,xy
膝痒搔背	xiyangsaobei,xysb
膝语蛇行	xiyushexing,xysx
