硫胺素	liuansu,las
硫醇	liuchun,lc
硫代硫酸钠	liudaisuanna,ldsn
硫化	liuhua,lh
硫化氢	liuhuaqing,lhq
硫化物	liuhuawu,lhw
硫黄	liuhuang,lh
硫磺	liuhuang,lh
硫磺鹀	liuhuangwu,lhw
硫氰酸	liuqingsuan,lqs
硫氰酸酶	liuqingsuanmei,lqsm
硫氰酸盐	liuqingsuanyan,lqsy
硫球	liuqiu,lq
硫酸	liusuan,ls
硫酸铵	liusuanan,lsa
硫酸钡	liusuanbei,lsb
硫酸钙	liusuangai,lsg
硫酸钾	liusuanjia,lsj
硫酸铝	liusuanlu,lsl
硫酸镁	liusuanmei,lsm
硫酸钠	liusuanna,lsn
硫酸铁	liusuantie,lst
硫酸铜	liusuantong,lst
硫酸盐	liusuanyan,lsy
硫茚	liuyin,ly
