陌刀	modao,md
陌额	moe,me
陌路	molu,ml
陌路人	moluren,mlr
陌路相逢	moluxiangfeng,mlxf
陌面不相识	momianbuxiangshi,mmbxs
陌陌	mo,m
陌目	momu,mm
陌阡	moqian,mq
陌桑	mosang,ms
陌上儿	moshanger,mse
陌上歌	moshangge,msg
陌上人	moshangren,msr
陌上桑	moshangsang,mss
陌上桑间	moshangsangjian,mssj
陌生	mosheng,ms
陌生地	moshengde,msd
陌生人	moshengren,msr
陌头	motou,mt
陌纸	mozhi,mz
